algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,6,36,raw,asap,next_cycle,8,2,2,8,4,5,1614.0,472.0,76.0,3.304536,3.24179,3.501728,0.116959,0.076439,0.13551,0.413067,76.0,2.0
QAOA,6,36,raw,asap,next_cycle,8,2,2,8,8,5,1614.0,391.0,76.0,4.127877,3.835092,4.30526,0.28836,0.233283,0.301031,0.515985,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,1,8,4,5,1614.0,422.0,76.0,3.863636,3.799821,3.930224,0.014218,0.010706,0.03947,0.482955,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,1,8,8,5,1614.0,231.0,76.0,6.987013,6.509363,7.294692,0.064935,0.044914,0.112026,0.873377,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,4,5,1614.0,439.0,76.0,3.686747,3.590807,3.79294,0.057831,0.032311,0.072598,0.460843,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,1,2,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.243506,0.205688,0.263591,0.655032,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,2,1,8,4,5,1614.0,439.0,76.0,3.686747,3.590807,3.79294,0.057831,0.032311,0.072598,0.460843,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,2,1,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.243506,0.205688,0.263591,0.655032,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,2,2,8,4,5,1614.0,464.0,76.0,3.370044,3.3072,3.567254,0.110132,0.081046,0.125847,0.421256,76.0,2.0
QAOA,6,36,raw,greedy_critical,next_cycle,8,2,2,8,8,5,1614.0,385.0,76.0,4.192208,3.905617,4.380673,0.366577,0.341436,0.39713,0.524026,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,1,1,8,4,5,1614.0,422.0,76.0,3.853904,3.795349,3.930224,0.02093,0.014429,0.038079,0.481738,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,1,1,8,8,5,1614.0,255.0,76.0,6.044944,5.915195,6.504819,0.090196,0.072153,0.123847,0.755618,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,1,2,8,4,5,1614.0,441.0,76.0,3.677885,3.571116,3.770748,0.060096,0.033786,0.084245,0.459736,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,1,2,8,8,5,1614.0,319.0,76.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,2,1,8,4,5,1614.0,440.0,76.0,3.677885,3.575075,3.775,0.04386,0.037175,0.078188,0.459736,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,2,1,8,8,5,1614.0,319.0,76.0,5.028037,4.715535,5.295427,0.178683,0.122363,0.203468,0.628505,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,2,2,8,4,5,1614.0,465.0,76.0,3.377483,3.30392,3.563431,0.121413,0.078977,0.131712,0.422185,76.0,2.0
QAOA,6,36,raw,regime_switch,next_cycle,8,2,2,8,8,5,1614.0,391.0,76.0,4.127877,3.835092,4.30526,0.28836,0.233283,0.301031,0.515985,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,1,1,8,4,5,1614.0,422.0,76.0,3.863636,3.799821,3.930224,0.014218,0.011943,0.040733,0.482955,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,1,1,8,8,5,1614.0,231.0,76.0,6.987013,6.509363,7.294692,0.064935,0.044914,0.096874,0.873377,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,1,2,8,4,5,1614.0,439.0,76.0,3.686747,3.594714,3.79294,0.057831,0.027635,0.067181,0.460843,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,1,2,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.24026,0.207372,0.255474,0.655032,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,2,1,8,4,5,1614.0,439.0,76.0,3.686747,3.594714,3.79294,0.057831,0.027635,0.067181,0.460843,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,2,1,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.24026,0.207372,0.255474,0.655032,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,2,2,8,4,5,1614.0,464.0,76.0,3.370044,3.3072,3.567254,0.110132,0.069106,0.125847,0.421256,76.0,2.0
QAOA,6,36,raw,shifted_critical,next_cycle,8,2,2,8,8,5,1614.0,385.0,76.0,4.192208,3.905617,4.380673,0.366577,0.337382,0.393234,0.524026,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,1,8,4,5,1614.0,422.0,76.0,3.853904,3.795349,3.930224,0.025189,0.014429,0.041861,0.481738,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,1,8,8,5,1614.0,231.0,76.0,6.987013,6.509363,7.294692,0.064935,0.044914,0.096874,0.873377,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,4,5,1614.0,441.0,76.0,3.677885,3.571116,3.770748,0.0625,0.033786,0.083151,0.459736,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,1,2,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.24026,0.207372,0.255474,0.655032,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,2,1,8,4,5,1614.0,441.0,76.0,3.677885,3.571116,3.770748,0.0625,0.033786,0.083151,0.459736,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,2,1,8,8,5,1614.0,308.0,76.0,5.24026,4.882022,5.47403,0.24026,0.207372,0.255474,0.655032,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,2,2,8,4,5,1614.0,465.0,76.0,3.377483,3.30392,3.563431,0.121413,0.080052,0.13274,0.422185,76.0,2.0
QAOA,6,36,raw,stall_aware_shifted,next_cycle,8,2,2,8,8,5,1614.0,385.0,76.0,4.192208,3.905617,4.380673,0.366577,0.337382,0.393234,0.524026,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,1,8,4,5,1614.0,406.0,2.0,3.975904,3.974697,3.977977,0.233766,0.221764,0.248192,0.496988,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,1,8,8,5,1614.0,204.0,2.0,7.894737,7.890668,7.906377,0.004902,0.004785,0.005052,0.986842,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.235751,0.222444,0.247596,0.495793,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,2,1,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.235751,0.222444,0.247596,0.495793,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,2,1,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,2,2,8,4,5,1614.0,408.0,2.0,3.956835,3.954685,3.958566,0.235142,0.223137,0.2494,0.494604,76.0,2.0
QAOA,6,36,shifted,asap,next_cycle,8,2,2,8,8,5,1614.0,207.0,2.0,7.806122,7.791233,7.819905,0.014493,0.014218,0.01497,0.975765,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,1,8,4,5,1614.0,406.0,2.0,3.975904,3.974697,3.977977,0.426108,0.424096,0.427503,0.496988,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,1,8,8,5,1614.0,204.0,2.0,7.894737,7.890668,7.906377,0.004902,0.004785,0.005052,0.986842,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.425481,0.42284,0.428956,0.495793,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,2,1,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.425481,0.42284,0.428956,0.495793,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,2,1,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,2,2,8,4,5,1614.0,408.0,2.0,3.956835,3.954685,3.958566,0.426859,0.423041,0.430403,0.494604,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,2,2,8,8,5,1614.0,206.0,2.0,7.819905,7.813014,7.82924,0.014563,0.014218,0.015006,0.977488,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,1,1,8,4,5,1614.0,406.0,2.0,3.975904,3.974697,3.977977,0.440964,0.431295,0.447029,0.496988,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,1,1,8,8,5,1614.0,204.0,2.0,7.894737,7.890668,7.906377,0.004902,0.004785,0.005052,0.986842,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.442308,0.434086,0.444741,0.495793,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,2,1,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.442308,0.434086,0.444741,0.495793,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,2,1,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,2,2,8,4,5,1614.0,408.0,2.0,3.956835,3.954685,3.958566,0.443645,0.436453,0.444045,0.494604,76.0,2.0
QAOA,6,36,shifted,regime_switch,next_cycle,8,2,2,8,8,5,1614.0,207.0,2.0,7.806122,7.791233,7.819905,0.014493,0.014218,0.01497,0.975765,76.0,2.0
QAOA,6,36,shifted,shifted_critical,next_cycle,8,1,1,8,4,5,1614.0,406.0,2.0,3.975904,3.974697,3.977977,0.46506,0.450309,0.46652,0.496988,76.0,2.0
QAOA,6,36,shifted,shifted_critical,next_cycle,8,1,1,8,8,5,1614.0,204.0,2.0,7.894737,7.890668,7.906377,0.004902,0.004785,0.005052,0.986842,76.0,2.0
