algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,6,36,2,stall_aware_shifted,next_cycle,8,1,2,8,5,73,2,97.260274,4.483696,4.954955,0.471259,10.510503,0.054348,0.315315,0.260967,-480.177743,0.560462,0.619369,0.058907,10.510436,0.560462,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,2,stall_aware_shifted,next_cycle,8,1,2,8,6,73,2,97.260274,5.045872,5.935252,0.88938,17.625893,0.082569,0.183453,0.100884,-122.181448,0.630734,0.741906,0.111172,17.625814,0.630734,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,3,asap,next_cycle,8,1,2,8,4,76,2,97.368421,3.608491,3.963731,0.35524,9.844558,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495466,0.044405,9.844566,0.451061,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,3,asap,next_cycle,8,1,2,8,5,76,2,97.368421,4.157609,4.951456,0.793847,19.093835,0.105978,0.119741,0.013763,-12.986658,0.519701,0.618932,0.099231,19.093864,0.519701,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,3,greedy_critical,next_cycle,8,1,2,8,4,76,2,97.368421,3.686747,3.963731,0.276984,7.512965,0.057831,0.430052,0.372221,-643.635766,0.460843,0.495466,0.034623,7.512971,0.460843,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,3,greedy_critical,next_cycle,8,1,2,8,5,76,2,97.368421,4.238227,4.951456,0.713229,16.828476,0.083102,0.288026,0.204924,-246.593343,0.529778,0.618932,0.089154,16.828558,0.529778,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,3,greedy_critical,next_cycle,8,1,2,8,6,76,2,97.368421,4.650456,5.930233,1.279777,27.519387,0.130699,0.186047,0.055348,-42.347684,0.581307,0.741279,0.159972,27.519366,0.581307,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,3,stall_aware_shifted,next_cycle,8,1,2,8,4,76,2,97.368421,3.677885,3.963731,0.285846,7.772021,0.0625,0.437824,0.375324,-600.5184,0.459736,0.495466,0.03573,7.771852,0.459736,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,3,stall_aware_shifted,next_cycle,8,1,2,8,5,76,2,97.368421,4.226519,4.951456,0.724937,17.152106,0.066298,0.304207,0.237909,-358.847929,0.528315,0.618932,0.090617,17.152078,0.528315,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,3,stall_aware_shifted,next_cycle,8,1,2,8,6,76,2,97.368421,4.622356,5.930233,1.307877,28.294597,0.111782,0.174419,0.062637,-56.034961,0.577795,0.741279,0.163484,28.294464,0.577794,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,4,asap,next_cycle,8,1,2,8,4,85,2,97.647059,3.540773,3.966346,0.425573,12.019212,0.083691,0.25,0.166309,-198.717903,0.442597,0.495793,0.053196,12.01906,0.442597,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,4,asap,next_cycle,8,1,2,8,5,85,2,97.647059,4.02439,4.954955,0.930565,23.123132,0.102439,0.156156,0.053717,-52.438036,0.503049,0.619369,0.11632,23.122996,0.503049,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,4,greedy_critical,next_cycle,8,1,2,8,4,85,2,97.647059,3.634361,3.966346,0.331985,9.134618,0.063877,0.423077,0.3592,-562.330729,0.454295,0.495793,0.041498,9.134593,0.454295,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,4,greedy_critical,next_cycle,8,1,2,8,5,85,2,97.647059,4.135338,4.954955,0.819617,19.819831,0.105263,0.306306,0.201043,-190.991136,0.516917,0.619369,0.102452,19.819816,0.516917,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,4,greedy_critical,next_cycle,8,1,2,8,6,85,2,97.647059,4.532967,5.935252,1.402285,30.935257,0.098901,0.179856,0.080955,-81.854582,0.566621,0.741906,0.175285,30.93514,0.566621,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,4,stall_aware_shifted,next_cycle,8,1,2,8,4,85,2,97.647059,3.610503,3.966346,0.355843,9.855774,0.070022,0.442308,0.372286,-531.670047,0.451313,0.495793,0.04448,9.855688,0.451313,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,4,stall_aware_shifted,next_cycle,8,1,2,8,5,85,2,97.647059,4.145729,4.954955,0.809226,19.51951,0.077889,0.306306,0.228417,-293.259639,0.518216,0.619369,0.101153,19.519467,0.518216,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,4,stall_aware_shifted,next_cycle,8,1,2,8,6,85,2,97.647059,4.508197,5.935252,1.427055,31.654673,0.144809,0.172662,0.027853,-19.234302,0.563525,0.741906,0.178381,31.654496,0.563525,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,0,asap,next_cycle,8,1,2,8,4,139,2,98.561151,3.821949,3.990385,0.168436,4.407071,0.034536,0.246795,0.212259,-614.602154,0.477744,0.498798,0.021054,4.406963,0.477744,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,0,asap,next_cycle,8,1,2,8,5,139,2,98.561151,4.64986,4.984985,0.335125,7.207206,0.049486,0.163163,0.113677,-229.715475,0.581232,0.623123,0.041891,7.207277,0.581233,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,0,asap,next_cycle,8,1,2,8,6,139,2,98.561151,5.39545,5.978391,0.582941,10.804307,0.067172,0.110444,0.043272,-64.419699,0.674431,0.747299,0.072868,10.804367,0.674431,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,0,greedy_critical,next_cycle,8,1,2,8,4,139,2,98.561151,3.84556,3.990385,0.144825,3.766031,0.028571,0.453526,0.424955,-1487.36481,0.480695,0.498798,0.018103,3.766005,0.480695,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,0,greedy_critical,next_cycle,8,1,2,8,5,139,2,98.561151,4.693685,4.984985,0.2913,6.206211,0.048068,0.329329,0.281261,-585.13148,0.586711,0.623123,0.036412,6.206122,0.586711,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,0,greedy_critical,next_cycle,8,1,2,8,6,139,2,98.561151,5.490628,5.978391,0.487763,8.883556,0.051819,0.210084,0.158265,-305.418862,0.686329,0.747299,0.06097,8.883495,0.686329,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,0,greedy_critical,next_cycle,8,1,2,8,7,139,2,98.561151,6.225,6.965035,0.740035,11.888112,0.055,0.096503,0.041503,-75.46,0.778125,0.870629,0.092504,11.888064,0.778125,active,stall_medium,mixed,W8_M8_F7,improved,worse
QAOA,8,64,0,stall_aware_shifted,next_cycle,8,1,2,8,4,139,2,98.561151,3.84556,3.990385,0.144825,3.766031,0.019305,0.465545,0.44624,-2311.525512,0.480695,0.498798,0.018103,3.766005,0.480695,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,0,stall_aware_shifted,next_cycle,8,1,2,8,5,139,2,98.561151,4.684854,4.984985,0.300131,6.406411,0.039511,0.328328,0.288817,-730.978715,0.585607,0.623123,0.037516,6.406344,0.585607,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,0,stall_aware_shifted,next_cycle,8,1,2,8,6,139,2,98.561151,5.484581,5.978391,0.49381,9.003605,0.057269,0.195678,0.138409,-241.682236,0.685573,0.747299,0.061726,9.003563,0.685573,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,1,asap,next_cycle,8,1,2,8,4,127,2,98.425197,3.864486,3.988746,0.12426,3.215434,0.035826,0.257235,0.221409,-618.012058,0.483061,0.498593,0.015532,3.215329,0.483061,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,8,64,1,asap,next_cycle,8,1,2,8,5,127,2,98.425197,4.739255,4.981928,0.242673,5.120488,0.045845,0.162651,0.116806,-254.7846,0.592407,0.622741,0.030334,5.120466,0.592407,active,stall_low,mixed,W8_M8_F5,improved,worse
QAOA,8,64,1,asap,next_cycle,8,1,2,8,6,127,2,98.425197,5.537946,5.978313,0.440367,7.951811,0.058036,0.112048,0.054012,-93.066373,0.692243,0.747289,0.055046,7.951832,0.692243,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,8,64,1,greedy_critical,next_cycle,8,1,2,8,4,127,2,98.425197,3.888715,3.988746,0.100031,2.572341,0.028213,0.45418,0.425967,-1509.825258,0.486089,0.498593,0.012504,2.572368,0.486089,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
