dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,VQE,stall_aware_shifted,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
shifted,QAOA,asap,mixed,W8_M8_F4,15,5,3.966346,0.245192,0.495793
shifted,QAOA,asap,mixed,W8_M8_F5,15,5,4.951456,0.154004,0.618932
shifted,QAOA,asap,mixed,W8_M8_F6,15,5,5.933824,0.100719,0.741728
shifted,QAOA,asap,mixed,W8_M8_F7,15,5,6.903766,0.058824,0.862971
shifted,QAOA,asap,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QAOA,greedy_critical,mixed,W8_M8_F4,15,5,3.966346,0.425481,0.495793
shifted,QAOA,greedy_critical,mixed,W8_M8_F5,15,5,4.951456,0.303681,0.618932
shifted,QAOA,greedy_critical,mixed,W8_M8_F6,15,5,5.933824,0.186047,0.741728
shifted,QAOA,greedy_critical,mixed,W8_M8_F7,15,5,6.903766,0.081633,0.862971
shifted,QAOA,greedy_critical,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F4,15,5,3.966346,0.442308,0.495793
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F5,15,5,4.951456,0.315315,0.618932
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F6,15,5,5.933824,0.195181,0.741728
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F7,15,5,6.903766,0.067227,0.862971
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F8,15,5,7.857143,0.009756,0.982143
shifted,QFT,asap,mixed,W8_M8_F4,10,5,3.950547,0.390088,0.493818
shifted,QFT,asap,mixed,W8_M8_F5,10,5,4.916091,0.298173,0.614511
shifted,QFT,asap,mixed,W8_M8_F6,10,5,5.844985,0.206252,0.730623
shifted,QFT,asap,mixed,W8_M8_F7,10,5,6.777781,0.118091,0.847222
shifted,QFT,asap,mixed,W8_M8_F8,10,5,7.652152,0.01698,0.956519
shifted,QFT,greedy_critical,mixed,W8_M8_F4,10,5,3.959301,0.437771,0.494912
shifted,QFT,greedy_critical,mixed,W8_M8_F5,10,5,4.951119,0.339771,0.61889
shifted,QFT,greedy_critical,mixed,W8_M8_F6,10,5,5.924938,0.222716,0.740617
shifted,QFT,greedy_critical,mixed,W8_M8_F7,10,5,6.927118,0.102191,0.865889
shifted,QFT,greedy_critical,mixed,W8_M8_F8,10,5,7.906067,0.00762,0.988258
