algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QFT,greedy_critical,stall_medium,active,mixed,W8_M8_F7,5,13.894982,5,1.0,5,1.0,0,0.0,moderate
QFT,greedy_critical,stall_medium,near_saturation,mixed,W8_M8_F8,5,14.750008,5,1.0,5,1.0,0,0.0,moderate
QFT,greedy_critical,stall_medium,underutilized,mixed,W8_M8_F4,5,21.405753,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F5,1,34.661383,1,1.0,1,1.0,1,1.0,strong
QFT,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F6,5,54.066988,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F7,5,75.97767,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F8,5,100.0,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted,stall_low,active,mixed,W8_M8_F5,5,6.791566,5,1.0,5,1.0,0,0.0,moderate
QFT,stall_aware_shifted,stall_low,active,mixed,W8_M8_F6,2,9.813075,2,1.0,2,1.0,0,0.0,moderate
QFT,stall_aware_shifted,stall_low,underutilized,mixed,W8_M8_F4,5,4.252655,5,1.0,0,0.0,0,0.0,weak
QFT,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F6,3,10.009363,3,1.0,3,1.0,0,0.0,moderate
QFT,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F7,5,14.113794,5,1.0,5,1.0,0,0.0,moderate
QFT,stall_aware_shifted,stall_medium,near_saturation,mixed,W8_M8_F8,5,14.750008,5,1.0,5,1.0,0,0.0,moderate
QFT,stall_aware_shifted,stall_medium,underutilized,mixed,W8_M8_F4,5,21.725225,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted,stall_medium,underutilized,mixed,W8_M8_F5,4,36.400009,4,1.0,4,1.0,4,1.0,strong
VQE,asap,stall_high,underutilized,mixed,W8_M8_F7,5,61.904754,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_high,underutilized,mixed,W8_M8_F8,5,81.081061,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_low,active,mixed,W8_M8_F5,10,4.264762,10,1.0,5,0.5,0,0.0,weak
VQE,asap,stall_low,active,mixed,W8_M8_F6,10,6.626324,10,1.0,5,0.5,0,0.0,weak
VQE,asap,stall_low,near_saturation,mixed,W8_M8_F7,5,4.244485,5,1.0,0,0.0,0,0.0,weak
VQE,asap,stall_low,near_saturation,mixed,W8_M8_F8,5,5.825247,5,1.0,5,1.0,0,0.0,moderate
VQE,asap,stall_low,underutilized,mixed,W8_M8_F4,10,3.225446,10,1.0,0,0.0,0,0.0,weak
VQE,asap,stall_medium,active,mixed,W8_M8_F7,5,13.227511,5,1.0,5,1.0,0,0.0,moderate
VQE,asap,stall_medium,near_saturation,mixed,W8_M8_F8,5,18.181809,5,1.0,5,1.0,0,0.0,moderate
VQE,asap,stall_medium,underutilized,mixed,W8_M8_F4,5,23.880627,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_medium,underutilized,mixed,W8_M8_F5,5,32.727272,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_medium,underutilized,mixed,W8_M8_F6,5,46.808521,5,1.0,5,1.0,5,1.0,strong
VQE,greedy_critical,stall_high,active,mixed,W8_M8_F8,5,72.972975,5,1.0,5,1.0,5,1.0,strong
VQE,greedy_critical,stall_low,active,mixed,W8_M8_F5,10,3.200534,10,1.0,0,0.0,0,0.0,weak
VQE,greedy_critical,stall_low,active,mixed,W8_M8_F6,10,4.746256,10,1.0,5,0.5,0,0.0,weak
VQE,greedy_critical,stall_low,active,mixed,W8_M8_F7,5,8.994714,5,1.0,5,1.0,0,0.0,moderate
VQE,greedy_critical,stall_low,near_saturation,mixed,W8_M8_F7,5,2.376918,5,1.0,0,0.0,0,0.0,weak
VQE,greedy_critical,stall_low,saturated,mixed,W8_M8_F8,10,0.0,0,0.0,0,0.0,0,0.0,unlikely
VQE,greedy_critical,stall_low,underutilized,mixed,W8_M8_F4,10,2.120116,10,1.0,0,0.0,0,0.0,weak
VQE,greedy_critical,stall_medium,active,mixed,W8_M8_F7,5,52.38095,5,1.0,5,1.0,5,1.0,strong
VQE,greedy_critical,stall_medium,underutilized,mixed,W8_M8_F4,5,17.910474,5,1.0,5,1.0,0,0.0,moderate
VQE,greedy_critical,stall_medium,underutilized,mixed,W8_M8_F5,5,25.454531,5,1.0,5,1.0,5,1.0,strong
VQE,greedy_critical,stall_medium,underutilized,mixed,W8_M8_F6,5,38.297869,5,1.0,5,1.0,5,1.0,strong
VQE,stall_aware_shifted,stall_high,active,mixed,W8_M8_F7,5,52.38095,5,1.0,5,1.0,5,1.0,strong
VQE,stall_aware_shifted,stall_high,active,mixed,W8_M8_F8,5,72.972975,5,1.0,5,1.0,5,1.0,strong
VQE,stall_aware_shifted,stall_high,underutilized,mixed,W8_M8_F6,5,42.553186,5,1.0,5,1.0,5,1.0,strong
VQE,stall_aware_shifted,stall_low,active,mixed,W8_M8_F5,10,5.450489,10,1.0,5,0.5,0,0.0,weak
VQE,stall_aware_shifted,stall_low,active,mixed,W8_M8_F6,5,4.664721,5,1.0,0,0.0,0,0.0,weak
VQE,stall_aware_shifted,stall_low,near_saturation,mixed,W8_M8_F7,5,6.791173,5,1.0,5,1.0,0,0.0,moderate
VQE,stall_aware_shifted,stall_low,saturated,mixed,W8_M8_F8,10,0.0,0,0.0,0,0.0,0,0.0,unlikely
VQE,stall_aware_shifted,stall_low,underutilized,mixed,W8_M8_F4,10,3.573092,10,1.0,5,0.5,0,0.0,weak
VQE,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F6,5,11.87214,5,1.0,5,1.0,0,0.0,moderate
VQE,stall_aware_shifted,stall_medium,active,mixed,W8_M8_F7,5,16.402121,5,1.0,5,1.0,0,0.0,moderate
VQE,stall_aware_shifted,stall_medium,underutilized,mixed,W8_M8_F4,5,20.895531,5,1.0,5,1.0,5,1.0,strong
VQE,stall_aware_shifted,stall_medium,underutilized,mixed,W8_M8_F5,5,29.090889,5,1.0,5,1.0,5,1.0,strong
