algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,6,36,greedy_critical,next_cycle,8,2,2,8,8,5,5,76.0,2.0,97.368421,4.192208,7.819905,3.627697,86.53428,0.366577,0.014563,-0.352014,96.027301,0.524026,0.977488,0.453462,86.534256
QAOA,6,36,shifted_critical,next_cycle,8,1,1,8,4,5,5,76.0,2.0,97.368421,3.863636,3.975904,0.112268,2.90576,0.014218,0.46506,0.450842,-3170.924181,0.482955,0.496988,0.014033,2.905654
QAOA,6,36,shifted_critical,next_cycle,8,1,1,8,8,5,5,76.0,2.0,97.368421,6.987013,7.894737,0.907724,12.991589,0.064935,0.004902,-0.060033,92.450912,0.873377,0.986842,0.113465,12.991526
QAOA,6,36,shifted_critical,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.686747,3.966346,0.279599,7.583894,0.057831,0.463942,0.406111,-702.237554,0.460843,0.495793,0.03495,7.583928
QAOA,6,36,shifted_critical,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.24026,0.009756,-0.230504,95.939399,0.655032,0.982143,0.327111,49.938171
QAOA,6,36,shifted_critical,next_cycle,8,2,1,8,4,5,5,76.0,2.0,97.368421,3.686747,3.966346,0.279599,7.583894,0.057831,0.463942,0.406111,-702.237554,0.460843,0.495793,0.03495,7.583928
QAOA,6,36,shifted_critical,next_cycle,8,2,1,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.24026,0.009756,-0.230504,95.939399,0.655032,0.982143,0.327111,49.938171
QAOA,6,36,shifted_critical,next_cycle,8,2,2,8,4,5,5,76.0,2.0,97.368421,3.370044,3.956835,0.586791,17.411969,0.110132,0.461538,0.351406,-319.077107,0.421256,0.494604,0.073348,17.41174
QAOA,6,36,shifted_critical,next_cycle,8,2,2,8,8,5,5,76.0,2.0,97.368421,4.192208,7.819905,3.627697,86.53428,0.366577,0.014563,-0.352014,96.027301,0.524026,0.977488,0.453462,86.534256
QAOA,6,36,stall_aware_shifted_refined,next_cycle,8,1,1,8,4,5,5,76.0,2.0,97.368421,3.975904,3.975904,0.0,0.0,0.004926,0.004926,0.0,0.0,0.496988,0.496988,0.0,0.0
QAOA,6,36,stall_aware_shifted_refined,next_cycle,8,1,1,8,8,5,5,76.0,2.0,97.368421,6.987013,7.894737,0.907724,12.991589,0.064935,0.004902,-0.060033,92.450912,0.873377,0.986842,0.113465,12.991526
QAOA,6,36,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.923077,3.966346,0.043269,1.102935,0.007692,0.007371,-0.000321,4.173167,0.490385,0.495793,0.005408,1.102807
