algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QFT,6,36,1,asap,next_cycle,8,1,2,8,7,177,16,90.960452,6.08596,6.911063,0.825103,13.557483,0.090735,0.119306,0.028571,-31.4884,0.760745,0.863883,0.103138,13.5575,0.760745,active,stall_medium,mixed,W8_M8_F7,improved,worse
QFT,6,36,2,asap,next_cycle,8,1,2,8,4,177,16,90.960452,3.815569,3.9825,0.166931,4.374996,0.035928,0.3425,0.306572,-853.29548,0.476946,0.497812,0.020866,4.374919,0.476946,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QFT,6,36,2,asap,next_cycle,8,1,2,8,5,177,16,90.960452,4.644315,4.962617,0.318302,6.853583,0.050292,0.26947,0.219178,-435.810865,0.580539,0.620327,0.039788,6.853631,0.580539,active,stall_medium,mixed,W8_M8_F5,improved,worse
QFT,6,36,2,asap,next_cycle,8,1,2,8,6,177,16,90.960452,5.40458,5.932961,0.528381,9.776541,0.059372,0.202048,0.142676,-240.308563,0.675573,0.74162,0.066047,9.776442,0.675573,active,stall_medium,mixed,W8_M8_F6,improved,worse
QFT,6,36,2,asap,next_cycle,8,1,2,8,7,177,16,90.960452,6.08596,6.896104,0.810144,13.311688,0.067813,0.12013,0.052317,-77.148924,0.760745,0.862013,0.101268,13.311688,0.760745,active,stall_medium,mixed,W8_M8_F7,improved,worse
QFT,6,36,3,asap,next_cycle,8,1,2,8,4,177,17,90.39548,3.820144,3.977528,0.157384,4.119845,0.023381,0.378901,0.35552,-1520.550875,0.477518,0.497191,0.019673,4.119845,0.477518,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QFT,6,36,3,asap,next_cycle,8,1,2,8,5,177,17,90.39548,4.647702,4.966485,0.318783,6.858938,0.051787,0.282151,0.230364,-444.829784,0.580963,0.620811,0.039848,6.858957,0.580963,active,stall_medium,mixed,W8_M8_F5,improved,worse
QFT,6,36,3,asap,next_cycle,8,1,2,8,6,177,17,90.39548,5.40458,5.94403,0.53945,9.981349,0.068702,0.204291,0.135589,-197.358156,0.675573,0.743004,0.067431,9.981305,0.675573,active,stall_medium,mixed,W8_M8_F6,improved,worse
QFT,6,36,3,asap,next_cycle,8,1,2,8,7,177,17,90.39548,6.08596,6.903575,0.817615,13.434446,0.08978,0.11701,0.02723,-30.329695,0.760745,0.862947,0.102202,13.434462,0.760745,active,stall_medium,mixed,W8_M8_F7,improved,worse
QFT,6,36,4,asap,next_cycle,8,1,2,8,4,177,17,90.39548,3.817855,3.980012,0.162157,4.247333,0.031156,0.349157,0.318001,-1020.673386,0.477232,0.497502,0.02027,4.24741,0.477232,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
