algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QFT,asap,stall_medium,active,mixed,W8_M8_F7,5,13.557483,5,1.0,5,1.0,0,0.0,moderate
QFT,asap,stall_medium,near_saturation,mixed,W8_M8_F8,5,17.632562,5,1.0,5,1.0,0,0.0,moderate
QFT,asap,stall_medium,underutilized,mixed,W8_M8_F4,5,22.29301,5,1.0,5,1.0,5,1.0,strong
QFT,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F5,5,35.826799,5,1.0,5,1.0,5,1.0,strong
QFT,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F6,5,51.869159,5,1.0,5,1.0,5,1.0,strong
QFT,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F7,5,70.430124,5,1.0,5,1.0,5,1.0,strong
QFT,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F8,5,90.361461,5,1.0,5,1.0,5,1.0,strong
QFT,ff_rate_matched,stall_low,active,mixed,W8_M8_F5,4,6.856261,4,1.0,4,1.0,0,0.0,moderate
QFT,ff_rate_matched,stall_low,underutilized,mixed,W8_M8_F4,5,4.247333,5,1.0,0,0.0,0,0.0,weak
QFT,ff_rate_matched,stall_medium,active,mixed,W8_M8_F5,1,6.936868,1,1.0,1,1.0,0,0.0,moderate
QFT,ff_rate_matched,stall_medium,active,mixed,W8_M8_F6,5,9.981349,5,1.0,5,1.0,0,0.0,moderate
QFT,ff_rate_matched,stall_medium,active,mixed,W8_M8_F7,5,13.557483,5,1.0,5,1.0,0,0.0,moderate
QFT,ff_rate_matched,stall_medium,near_saturation,mixed,W8_M8_F8,5,17.632562,5,1.0,5,1.0,0,0.0,moderate
QFT,ff_rate_matched,stall_medium,underutilized,mixed,W8_M8_F4,5,22.29301,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F5,2,36.799999,2,1.0,2,1.0,2,1.0,strong
QFT,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F6,5,54.066988,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F7,5,75.97767,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F8,5,100.0,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F5,5,5.477297,5,1.0,5,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F6,4,8.075117,4,1.0,4,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_low,active,mixed,W8_M8_F7,2,11.487978,2,1.0,2,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_low,underutilized,mixed,W8_M8_F4,5,3.070176,5,1.0,0,0.0,0,0.0,weak
QFT,stall_aware_shifted_refined,stall_medium,active,mixed,W8_M8_F6,1,8.075117,1,1.0,1,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_medium,active,mixed,W8_M8_F7,3,11.597377,3,1.0,3,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_medium,near_saturation,mixed,W8_M8_F8,5,14.750008,5,1.0,5,1.0,0,0.0,moderate
QFT,stall_aware_shifted_refined,stall_medium,underutilized,mixed,W8_M8_F4,5,21.543424,5,1.0,5,1.0,5,1.0,strong
QFT,stall_aware_shifted_refined,stall_medium,underutilized,mixed,W8_M8_F5,3,37.19999,3,1.0,3,1.0,3,1.0,strong
VQE,asap,stall_high,underutilized,mixed,W8_M8_F7,5,61.904754,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_high,underutilized,mixed,W8_M8_F8,5,81.081061,5,1.0,5,1.0,5,1.0,strong
VQE,asap,stall_low,active,mixed,W8_M8_F5,10,4.264762,10,1.0,5,0.5,0,0.0,weak
VQE,asap,stall_low,active,mixed,W8_M8_F6,10,6.626324,10,1.0,5,0.5,0,0.0,weak
VQE,asap,stall_low,near_saturation,mixed,W8_M8_F7,5,4.244485,5,1.0,0,0.0,0,0.0,weak
VQE,asap,stall_low,near_saturation,mixed,W8_M8_F8,5,5.825247,5,1.0,5,1.0,0,0.0,moderate
VQE,asap,stall_low,underutilized,mixed,W8_M8_F4,10,3.225446,10,1.0,0,0.0,0,0.0,weak
VQE,asap,stall_medium,active,mixed,W8_M8_F7,5,13.227511,5,1.0,5,1.0,0,0.0,moderate
VQE,asap,stall_medium,near_saturation,mixed,W8_M8_F8,5,18.181809,5,1.0,5,1.0,0,0.0,moderate
