dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,2,4,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,2,8,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,4,4,318,129,2.465116,31,0.24031,0.30814
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,4,8,318,129,2.465116,31,0.24031,0.30814
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,8,4,318,129,2.465116,35,0.271318,0.30814
QAOA_H4_Q16_s3,QAOA,4,16,3,31,2,greedy_critical,next_cycle,8,1,2,8,8,318,128,2.484375,70,0.546875,0.310547
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,1,4,318,322,0.987578,3,0.009317,0.246894
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,1,8,318,322,0.987578,3,0.009317,0.246894
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,2,4,318,185,1.718919,17,0.091892,0.42973
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,2,8,318,185,1.718919,17,0.091892,0.42973
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,4,4,318,149,2.134228,41,0.275168,0.533557
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,4,8,318,149,2.134228,41,0.275168,0.533557
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,8,4,318,149,2.134228,41,0.275168,0.533557
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,4,1,2,8,8,318,149,2.134228,41,0.275168,0.533557
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,1,4,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,1,8,318,321,0.990654,2,0.006231,0.247664
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,2,4,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,2,8,318,162,1.962963,2,0.012346,0.490741
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,4,4,318,141,2.255319,41,0.29078,0.56383
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,4,8,318,141,2.255319,41,0.29078,0.56383
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,8,4,318,141,2.255319,41,0.29078,0.56383
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,4,1,2,8,8,318,141,2.255319,41,0.29078,0.56383
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,1,4,318,322,0.987578,3,0.009317,0.123447
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,1,8,318,322,0.987578,3,0.009317,0.123447
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,2,4,318,185,1.718919,17,0.091892,0.214865
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,2,8,318,185,1.718919,17,0.091892,0.214865
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,4,4,318,149,2.134228,41,0.275168,0.266779
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,4,8,318,149,2.134228,41,0.275168,0.266779
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,8,4,318,146,2.178082,45,0.308219,0.27226
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,asap,next_cycle,8,1,2,8,8,318,143,2.223776,70,0.48951,0.277972
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,1,4,318,321,0.990654,2,0.006231,0.123832
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,1,8,318,321,0.990654,2,0.006231,0.123832
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,2,4,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,2,8,318,162,1.962963,2,0.012346,0.24537
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,4,4,318,141,2.255319,41,0.29078,0.281915
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,4,8,318,141,2.255319,41,0.29078,0.281915
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,8,4,318,141,2.255319,47,0.333333,0.281915
QAOA_H4_Q16_s4,QAOA,4,16,4,34,2,greedy_critical,next_cycle,8,1,2,8,8,318,140,2.271429,77,0.55,0.283929
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,1,4,1614,1622,0.995068,7,0.004316,0.248767
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,1,8,1614,1622,0.995068,7,0.004316,0.248767
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,2,4,1614,833,1.937575,19,0.022809,0.484394
QAOA_H6_Q36_s0,QAOA,6,36,0,76,2,asap,next_cycle,4,1,2,2,8,1614,833,1.937575,19,0.022809,0.484394
