algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,8,64,asap,next_cycle,4,1,2,4,8,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.961717,142.0
QAOA,8,64,asap,next_cycle,4,1,2,8,4,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.961717,142.0
QAOA,8,64,asap,next_cycle,4,1,2,8,8,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.961717,142.0
QAOA,8,64,asap,next_cycle,8,1,2,1,4,5,4962.0,4968.0,0.998797,0.998579,0.998984,0.001003,0.000813,0.001217,0.12485,142.0
QAOA,8,64,asap,next_cycle,8,1,2,1,8,5,4962.0,4968.0,0.998797,0.998579,0.998984,0.001003,0.000813,0.001217,0.12485,142.0
QAOA,8,64,asap,next_cycle,8,1,2,2,4,5,4962.0,2497.0,1.987185,1.983115,1.98988,0.004405,0.003445,0.006231,0.248398,142.0
QAOA,8,64,asap,next_cycle,8,1,2,2,8,5,4962.0,2497.0,1.987185,1.983115,1.98988,0.004405,0.003445,0.006231,0.248398,142.0
QAOA,8,64,asap,next_cycle,8,1,2,4,4,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.480858,142.0
QAOA,8,64,asap,next_cycle,8,1,2,4,8,5,4962.0,1282.0,3.846868,3.825618,3.88309,0.017941,0.012994,0.026759,0.480858,142.0
QAOA,8,64,asap,next_cycle,8,1,2,8,4,5,4962.0,1284.0,3.843895,3.82412,3.876955,0.034536,0.025171,0.037475,0.480487,142.0
QAOA,8,64,asap,next_cycle,8,1,2,8,8,5,4962.0,744.0,6.693548,6.429981,6.850312,0.084677,0.068428,0.112667,0.836694,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,1,4,5,4962.0,4965.0,0.999396,0.999385,0.999397,0.000403,0.000402,0.000411,0.249849,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,1,8,5,4962.0,4965.0,0.999396,0.999385,0.999397,0.000403,0.000402,0.000411,0.249849,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,2,4,5,4962.0,2484.0,1.997585,1.99754,1.997591,0.000805,0.000803,0.00082,0.499396,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,2,8,5,4962.0,2484.0,1.997585,1.99754,1.997591,0.000805,0.000803,0.00082,0.499396,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,4,4,5,4962.0,1244.0,3.988746,3.988538,3.989579,0.001608,0.001603,0.001637,0.997186,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,4,8,5,4962.0,1244.0,3.988746,3.988538,3.989579,0.001608,0.001603,0.001637,0.997186,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,8,4,5,4962.0,1244.0,3.988746,3.988538,3.989579,0.001608,0.001603,0.001637,0.997186,142.0
QAOA,8,64,greedy_critical,next_cycle,4,1,2,8,8,5,4962.0,1244.0,3.988746,3.988538,3.989579,0.001608,0.001603,0.001637,0.997186,142.0
QAOA,8,64,greedy_critical,next_cycle,8,1,2,1,4,5,4962.0,4965.0,0.999396,0.999385,0.999397,0.000403,0.000402,0.000411,0.124924,142.0
QAOA,8,64,greedy_critical,next_cycle,8,1,2,1,8,5,4962.0,4965.0,0.999396,0.999385,0.999397,0.000403,0.000402,0.000411,0.124924,142.0
QAOA,8,64,greedy_critical,next_cycle,8,1,2,2,4,5,4962.0,2484.0,1.997585,1.99754,1.997591,0.000805,0.000803,0.00082,0.249698,142.0
QAOA,8,64,greedy_critical,next_cycle,8,1,2,2,8,5,4962.0,2484.0,1.997585,1.99754,1.997591,0.000805,0.000803,0.00082,0.249698,142.0
