algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,4,4,1,2,1.000000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.000659,0.000659,0.000000
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,8,2,1,2,0.500000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.396802,0.000495,-0.396307
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,8,3,1,2,0.750000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.191842,0.000494,-0.191348
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,4,8,4,1,2,1.000000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.000659,0.000659,0.000000
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,16,2,1,2,0.250000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.563469,0.000824,-0.562645
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,16,3,1,2,0.375000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.402719,0.000742,-0.401977
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,16,4,1,2,0.500000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.271829,0.000988,-0.270841
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,4,2,1,2,0.250000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.396802,0.000495,-0.396307
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,4,3,1,2,0.375000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.191842,0.000494,-0.191348
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,4,4,1,2,0.500000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.000659,0.000659,0.000000
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,8,2,1,2,0.250000,6066,6066,1.000000,1.999011,1.999011,0.000000,0.563469,0.000824,-0.562645
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,8,3,1,2,0.375000,4045,4045,1.000000,2.997775,2.997775,0.000000,0.402719,0.000742,-0.401977
QAOA,10,100,2,QAOA_H10_Q100_s2_shifted,8,8,4,1,2,0.500000,3035,3035,1.000000,3.995387,3.995387,0.000000,0.271829,0.000988,-0.270841
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,16,2,1,2,0.125000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.645252,0.001494,-0.643758
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,16,3,1,2,0.187500,4017,4017,1.000000,2.99776,2.99776,0.000000,0.499876,0.001494,-0.498382
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,16,4,1,2,0.250000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.368613,0.001659,-0.366954
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,4,2,1,2,0.125000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.39741,0.000498,-0.396912
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,4,3,1,2,0.187500,4017,4017,1.000000,2.99776,2.99776,0.000000,0.189943,0.000498,-0.189445
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,4,4,1,2,0.250000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.000664,0.000664,0.000000
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,8,2,1,2,0.125000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.564741,0.00083,-0.563911
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,8,3,1,2,0.187500,4017,4017,1.000000,2.99776,2.99776,0.000000,0.401294,0.000747,-0.400547
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,16,8,4,1,2,0.250000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.272064,0.000995,-0.271069
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,16,2,1,2,0.500000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.39741,0.000498,-0.396912
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,16,3,1,2,0.750000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.189943,0.000498,-0.189445
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,16,4,1,2,1.000000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.000664,0.000664,0.000000
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,4,2,1,2,0.500000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.39741,0.000498,-0.396912
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,4,3,1,2,0.750000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.189943,0.000498,-0.189445
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,4,4,1,2,1.000000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.000664,0.000664,0.000000
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,8,2,1,2,0.500000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.39741,0.000498,-0.396912
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,8,3,1,2,0.750000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.189943,0.000498,-0.189445
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,4,8,4,1,2,1.000000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.000664,0.000664,0.000000
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,16,2,1,2,0.250000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.564741,0.00083,-0.563911
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,16,3,1,2,0.375000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.401294,0.000747,-0.400547
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,16,4,1,2,0.500000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.272064,0.000995,-0.271069
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,4,2,1,2,0.250000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.39741,0.000498,-0.396912
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,4,3,1,2,0.375000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.189943,0.000498,-0.189445
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,4,4,1,2,0.500000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.000664,0.000664,0.000000
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,8,2,1,2,0.250000,6024,6024,1.000000,1.999004,1.999004,0.000000,0.564741,0.00083,-0.563911
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,8,3,1,2,0.375000,4017,4017,1.000000,2.99776,2.99776,0.000000,0.401294,0.000747,-0.400547
QAOA,10,100,3,QAOA_H10_Q100_s3_shifted,8,8,4,1,2,0.500000,3014,3014,1.000000,3.995355,3.995355,0.000000,0.272064,0.000995,-0.271069
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,16,2,1,2,0.125000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.642905,0.001506,-0.641399
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,16,3,1,2,0.187500,3985,3985,1.000000,2.997742,2.997742,0.000000,0.495859,0.001506,-0.494353
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,16,4,1,2,0.250000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.365886,0.001672,-0.364214
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,4,2,1,2,0.125000,5976,5976,1.000000,1.998996,1.998996,0.000000,0.393742,0.000502,-0.393240
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,4,3,1,2,0.187500,3985,3985,1.000000,2.997742,2.997742,0.000000,0.185445,0.000502,-0.184943
QAOA,10,100,4,QAOA_H10_Q100_s4_shifted,16,4,4,1,2,0.250000,2990,2990,1.000000,3.995318,3.995318,0.000000,0.000669,0.000669,0.000000
