dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,VQE,asap,l1_l1,W4_M4_F4,15,5,3.88024,0.008982,0.97006
raw,VQE,asap,l1_l1,W4_M4_F8,15,5,3.88024,0.008982,0.97006
raw,VQE,asap,l1_l1,W4_M8_F4,15,5,3.88024,0.008982,0.97006
raw,VQE,asap,l1_l1,W4_M8_F8,15,5,3.88024,0.008982,0.97006
raw,VQE,asap,l1_l1,W8_M4_F4,15,5,3.88024,0.008982,0.48503
raw,VQE,asap,l1_l1,W8_M4_F8,15,5,3.88024,0.008982,0.48503
raw,VQE,asap,l1_l1,W8_M8_F4,15,5,3.868657,0.014925,0.483582
raw,VQE,asap,l1_l1,W8_M8_F8,15,5,7.160221,0.022099,0.895028
raw,VQE,asap,l2_l2,W4_M4_F4,15,5,3.692308,0.037037,0.923077
raw,VQE,asap,l2_l2,W4_M4_F8,15,5,3.692308,0.037037,0.923077
raw,VQE,asap,l2_l2,W4_M8_F4,15,5,3.692308,0.037037,0.923077
raw,VQE,asap,l2_l2,W4_M8_F8,15,5,3.692308,0.037037,0.923077
raw,VQE,asap,l2_l2,W8_M4_F4,15,5,3.692308,0.037037,0.461538
raw,VQE,asap,l2_l2,W8_M4_F8,15,5,3.692308,0.037037,0.461538
raw,VQE,asap,l2_l2,W8_M8_F4,15,5,3.671388,0.050992,0.458924
raw,VQE,asap,l2_l2,W8_M8_F8,15,5,6.056075,0.11215,0.757009
raw,VQE,asap,mixed,W4_M4_F4,30,5,3.800587,0.02346,0.950147
raw,VQE,asap,mixed,W4_M4_F8,30,5,3.800587,0.02346,0.950147
raw,VQE,asap,mixed,W4_M8_F4,30,5,3.800587,0.02346,0.950147
raw,VQE,asap,mixed,W4_M8_F8,30,5,3.800587,0.02346,0.950147
raw,VQE,asap,mixed,W8_M4_F4,30,5,3.800587,0.02346,0.475073
raw,VQE,asap,mixed,W8_M4_F8,30,5,3.800587,0.02346,0.475073
raw,VQE,asap,mixed,W8_M8_F4,30,5,3.778426,0.026239,0.472303
raw,VQE,asap,mixed,W8_M8_F8,30,5,6.646154,0.082051,0.830769
raw,VQE,greedy_critical,l1_l1,W4_M4_F4,15,5,3.97546,0.003067,0.993865
raw,VQE,greedy_critical,l1_l1,W4_M4_F8,15,5,3.97546,0.003067,0.993865
raw,VQE,greedy_critical,l1_l1,W4_M8_F4,15,5,3.97546,0.003067,0.993865
raw,VQE,greedy_critical,l1_l1,W4_M8_F8,15,5,3.97546,0.003067,0.993865
raw,VQE,greedy_critical,l1_l1,W8_M4_F4,15,5,3.97546,0.003067,0.496933
raw,VQE,greedy_critical,l1_l1,W8_M4_F8,15,5,3.97546,0.003067,0.496933
raw,VQE,greedy_critical,l1_l1,W8_M8_F4,15,5,3.927273,0.009091,0.490909
raw,VQE,greedy_critical,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
raw,VQE,greedy_critical,l2_l2,W4_M4_F4,15,5,3.95122,0.009146,0.987805
raw,VQE,greedy_critical,l2_l2,W4_M4_F8,15,5,3.95122,0.009146,0.987805
raw,VQE,greedy_critical,l2_l2,W4_M8_F4,15,5,3.95122,0.009146,0.987805
raw,VQE,greedy_critical,l2_l2,W4_M8_F8,15,5,3.95122,0.009146,0.987805
raw,VQE,greedy_critical,l2_l2,W8_M4_F4,15,5,3.95122,0.009146,0.493902
raw,VQE,greedy_critical,l2_l2,W8_M4_F8,15,5,3.95122,0.009146,0.493902
raw,VQE,greedy_critical,l2_l2,W8_M8_F4,15,5,3.745665,0.043353,0.468208
raw,VQE,greedy_critical,l2_l2,W8_M8_F8,15,5,7.2,0.066667,0.9
raw,VQE,greedy_critical,mixed,W4_M4_F4,30,5,3.963303,0.006116,0.990826
raw,VQE,greedy_critical,mixed,W4_M4_F8,30,5,3.963303,0.006116,0.990826
raw,VQE,greedy_critical,mixed,W4_M8_F4,30,5,3.963303,0.006116,0.990826
raw,VQE,greedy_critical,mixed,W4_M8_F8,30,5,3.963303,0.006116,0.990826
raw,VQE,greedy_critical,mixed,W8_M4_F4,30,5,3.963303,0.006116,0.495413
raw,VQE,greedy_critical,mixed,W8_M4_F8,30,5,3.963303,0.006116,0.495413
raw,VQE,greedy_critical,mixed,W8_M8_F4,30,5,3.83432,0.011834,0.47929
raw,VQE,greedy_critical,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,QAOA,asap,l1_l1,W4_M4_F4,15,5,3.975904,0.002463,0.993976
shifted,QAOA,asap,l1_l1,W4_M4_F8,15,5,3.975904,0.002463,0.993976
shifted,QAOA,asap,l1_l1,W4_M8_F4,15,5,3.975904,0.002463,0.993976
shifted,QAOA,asap,l1_l1,W4_M8_F8,15,5,3.975904,0.002463,0.993976
shifted,QAOA,asap,l1_l1,W8_M4_F4,15,5,3.975904,0.002463,0.496988
shifted,QAOA,asap,l1_l1,W8_M4_F8,15,5,3.975904,0.002463,0.496988
shifted,QAOA,asap,l1_l1,W8_M8_F4,15,5,3.975904,0.245783,0.496988
shifted,QAOA,asap,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,asap,l2_l2,W4_M4_F4,15,5,3.956835,0.007353,0.989209
shifted,QAOA,asap,l2_l2,W4_M4_F8,15,5,3.956835,0.007353,0.989209
shifted,QAOA,asap,l2_l2,W4_M8_F4,15,5,3.956835,0.007353,0.989209
shifted,QAOA,asap,l2_l2,W4_M8_F8,15,5,3.956835,0.007353,0.989209
shifted,QAOA,asap,l2_l2,W8_M4_F4,15,5,3.956835,0.007353,0.494604
shifted,QAOA,asap,l2_l2,W8_M4_F8,15,5,3.956835,0.007353,0.494604
shifted,QAOA,asap,l2_l2,W8_M8_F4,15,5,3.956835,0.246597,0.494604
shifted,QAOA,asap,l2_l2,W8_M8_F8,15,5,7.806122,0.014493,0.975765
shifted,QAOA,asap,mixed,W4_M4_F4,30,5,3.966346,0.004914,0.991587
shifted,QAOA,asap,mixed,W4_M4_F8,30,5,3.966346,0.004914,0.991587
shifted,QAOA,asap,mixed,W4_M8_F4,30,5,3.966346,0.004914,0.991587
shifted,QAOA,asap,mixed,W4_M8_F8,30,5,3.966346,0.004914,0.991587
