algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,1,asap,next_cycle,8,1,1,4,8,28,2,92.857143,3.306122,3.903614,0.597492,18.072291,0.030612,0.012048,-0.018564,60.642885,0.413265,0.487952,0.074687,18.072423,0.413265,underutilized,stall_low,l1_l1,W8_M4_F8
QAOA,4,16,1,asap,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.903614,0.563408,16.867463,0.061856,0.168675,0.106819,-172.689796,0.417526,0.487952,0.070426,16.867453,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,1,8,8,28,2,92.857143,3.6,7.363636,3.763636,104.545444,0.277778,0.022727,-0.255051,91.818287,0.45,0.920455,0.470455,104.545556,0.45,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,2,4,4,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.326613,0.476471,0.149858,45.882436,0.326613,underutilized,stall_medium,mixed,W8_M4_F4
QAOA,4,16,1,asap,next_cycle,8,1,2,4,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.326613,0.476471,0.149858,45.882436,0.326613,underutilized,stall_medium,mixed,W8_M4_F8
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,1,2,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,1,4,4,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.326613,0.476471,0.149858,45.882436,0.326613,underutilized,stall_medium,mixed,W8_M4_F4
QAOA,4,16,1,asap,next_cycle,8,2,1,4,8,28,2,92.857143,2.612903,3.811765,1.198862,45.882377,0.120968,0.023529,-0.097439,80.549401,0.326613,0.476471,0.149858,45.882436,0.326613,underutilized,stall_medium,mixed,W8_M4_F8
QAOA,4,16,1,asap,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,1,8,8,28,2,92.857143,2.722689,7.043478,4.320789,158.69565,0.453782,0.043478,-0.410304,90.418747,0.340336,0.880435,0.540099,158.695818,0.340336,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,2,2,4,4,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.266447,0.465517,0.19907,74.712795,0.266447,underutilized,stall_high,l2_l2,W8_M4_F4
QAOA,4,16,1,asap,next_cycle,8,2,2,4,8,28,2,92.857143,2.131579,3.724138,1.592559,74.712643,0.269737,0.034483,-0.235254,87.216066,0.266447,0.465517,0.19907,74.712795,0.266447,underutilized,stall_high,l2_l2,W8_M4_F8
QAOA,4,16,1,asap,next_cycle,8,2,2,8,4,28,2,92.857143,2.16,3.724138,1.564138,72.413796,0.34,0.183908,-0.156092,45.909412,0.27,0.465517,0.195517,72.413704,0.27,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,1,asap,next_cycle,8,2,2,8,8,28,2,92.857143,2.189189,6.75,4.560811,208.33336,0.560811,0.0625,-0.498311,88.855425,0.273649,0.84375,0.570101,208.332937,0.273649,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,4,1,1,4,4,28,2,92.857143,3.640449,3.903614,0.263165,7.228916,0.033708,0.012048,-0.02166,64.257743,0.910112,0.975904,0.065792,7.229,0.910112,near_saturation,stall_low,l1_l1,W4_M4_F4
QAOA,4,16,1,greedy_critical,next_cycle,4,1,1,4,8,28,2,92.857143,3.640449,3.903614,0.263165,7.228916,0.033708,0.012048,-0.02166,64.257743,0.910112,0.975904,0.065792,7.229,0.910112,near_saturation,stall_low,l1_l1,W4_M4_F8
QAOA,4,16,1,greedy_critical,next_cycle,4,1,1,8,4,28,2,92.857143,3.640449,3.903614,0.263165,7.228916,0.033708,0.012048,-0.02166,64.257743,0.910112,0.975904,0.065792,7.229,0.910112,near_saturation,stall_low,l1_l1,W4_M8_F4
QAOA,4,16,1,greedy_critical,next_cycle,4,1,1,8,8,28,2,92.857143,3.640449,3.903614,0.263165,7.228916,0.033708,0.012048,-0.02166,64.257743,0.910112,0.975904,0.065792,7.229,0.910112,near_saturation,stall_low,l1_l1,W4_M8_F8
