algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,6,36,1,greedy_critical,next_cycle,8,2,2,8,4,73,2,97.260274,3.578475,3.960298,0.381823,10.669992,0.067265,0.42928,0.362015,-538.192225,0.447309,0.495037,0.047728,10.670029,0.447309,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,1,regime_switch,next_cycle,8,1,1,8,4,73,2,97.260274,3.883212,3.950495,0.067283,1.732664,0.009732,0.009901,0.000169,-1.736539,0.485401,0.493812,0.008411,1.732794,0.485401,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,1,shifted_critical,next_cycle,8,1,1,8,4,73,2,97.260274,3.950495,3.98005,0.029555,0.748134,0.007426,0.396509,0.389083,-5239.469432,0.493812,0.497506,0.003694,0.748058,0.493812,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,1,shifted_critical,next_cycle,8,1,2,8,4,73,2,97.260274,3.827338,3.970149,0.142811,3.73134,0.019185,0.395522,0.376337,-1961.621058,0.478417,0.496269,0.017852,3.731473,0.478417,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,shifted_critical,next_cycle,8,2,1,8,4,73,2,97.260274,3.827338,3.970149,0.142811,3.73134,0.019185,0.395522,0.376337,-1961.621058,0.478417,0.496269,0.017852,3.731473,0.478417,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,shifted_critical,next_cycle,8,2,2,8,4,73,2,97.260274,3.578475,3.960298,0.381823,10.669992,0.076233,0.401985,0.325752,-427.311007,0.447309,0.495037,0.047728,10.670029,0.447309,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,1,stall_aware_shifted,next_cycle,8,1,1,8,4,73,2,97.260274,3.883212,3.950495,0.067283,1.732664,0.009732,0.009901,0.000169,-1.736539,0.485401,0.493812,0.008411,1.732794,0.485401,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,1,1,8,4,73,2,97.260274,3.864169,3.975904,0.111735,2.891566,0.025761,0.245783,0.220022,-854.089515,0.483021,0.496988,0.013967,2.891593,0.483021,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,1,2,8,4,73,2,97.260274,3.691275,3.966346,0.275071,7.451924,0.044743,0.245192,0.200449,-448.000805,0.461409,0.495793,0.034384,7.451957,0.461409,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,2,1,8,4,73,2,97.260274,3.691275,3.966346,0.275071,7.451924,0.044743,0.245192,0.200449,-448.000805,0.461409,0.495793,0.034384,7.451957,0.461409,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,2,2,8,4,73,2,97.260274,3.495763,3.956835,0.461072,13.189452,0.084746,0.247002,0.162256,-191.461544,0.43697,0.494604,0.057634,13.189464,0.43697,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,2,greedy_critical,next_cycle,8,1,1,8,4,73,2,97.260274,3.909953,3.975904,0.065951,1.686747,0.014218,0.424096,0.409878,-2882.810522,0.488744,0.496988,0.008244,1.686773,0.488744,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,2,greedy_critical,next_cycle,8,1,2,8,4,73,2,97.260274,3.758542,3.966346,0.207804,5.528846,0.047836,0.425481,0.377645,-789.457731,0.469818,0.495793,0.025975,5.528737,0.469818,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,greedy_critical,next_cycle,8,2,1,8,4,73,2,97.260274,3.758542,3.966346,0.207804,5.528846,0.047836,0.425481,0.377645,-789.457731,0.469818,0.495793,0.025975,5.528737,0.469818,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,greedy_critical,next_cycle,8,2,2,8,4,73,2,97.260274,3.556034,3.956835,0.400801,11.271011,0.094828,0.426859,0.332031,-350.140254,0.444504,0.494604,0.0501,11.27099,0.444504,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,2,shifted_critical,next_cycle,8,1,1,8,4,73,2,97.260274,3.909953,3.975904,0.065951,1.686747,0.018957,0.412048,0.393091,-2073.592868,0.488744,0.496988,0.008244,1.686773,0.488744,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,2,shifted_critical,next_cycle,8,1,2,8,4,73,2,97.260274,3.758542,3.966346,0.207804,5.528846,0.045558,0.415865,0.370307,-812.825409,0.469818,0.495793,0.025975,5.528737,0.469818,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
