algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,8,28,2,92.857143,3.724138,7.534884,3.810746,102.325585,0.321839,0.023256,-0.298583,92.774027,0.465517,0.94186,0.476343,102.325586,0.465517,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,8,28,2,92.857143,2.793103,7.363636,4.570533,163.636393,0.491379,0.045455,-0.445924,90.749503,0.349138,0.920455,0.571317,163.636442,0.349138,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4
QAOA,4,16,1,greedy_critical,next_cycle,8,2,1,8,8,28,2,92.857143,2.793103,7.363636,4.570533,163.636393,0.491379,0.045455,-0.445924,90.749503,0.349138,0.920455,0.571317,163.636442,0.349138,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,2,2,8,4,28,2,92.857143,2.189189,3.811765,1.622576,74.117676,0.378378,0.329412,-0.048966,12.941027,0.273649,0.476471,0.202822,74.117574,0.273649,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,1,greedy_critical,next_cycle,8,2,2,8,8,28,2,92.857143,2.234483,7.043478,4.808995,215.217346,0.593103,0.065217,-0.527886,89.004102,0.27931,0.880435,0.601125,215.217858,0.27931,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,1,regime_switch,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.724138,0.383932,11.494261,0.061856,0.034483,-0.027373,44.252781,0.417526,0.465517,0.047991,11.494134,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,1,regime_switch,next_cycle,8,1,1,8,8,28,2,92.857143,3.6,7.363636,3.763636,104.545444,0.277778,0.022727,-0.255051,91.818287,0.45,0.920455,0.470455,104.545556,0.45,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,1,regime_switch,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.640449,0.962763,35.955037,0.173554,0.078652,-0.094902,54.68154,0.334711,0.455056,0.120345,35.954898,0.334711,underutilized,stall_high,mixed,W8_M8_F4
