dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,policy,l_meas,l_ff,meas_width,ff_width,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,throughput_asap,throughput_policy,throughput_vs_asap_pct,stall_asap,stall_policy,stall_vs_asap_pct
raw,QAOA,4,16,2,stall_aware_shifted,1,2,8,8,34,34,2,2.239437,2.271429,1.428573,0.542254,0.564286,4.063041
raw,QAOA,4,16,2,asap,2,1,8,4,34,34,2,2.178082,2.178082,0.0,0.315068,0.315068,0.0
raw,QAOA,4,16,2,greedy_critical,2,1,8,4,34,34,2,2.178082,2.255319,3.546102,0.315068,0.35461,12.550307
raw,QAOA,4,16,2,shifted_critical,2,1,8,4,34,34,2,2.178082,2.255319,3.546102,0.315068,0.35461,12.550307
raw,QAOA,4,16,2,stall_aware_shifted,2,1,8,4,34,34,2,2.178082,2.255319,3.546102,0.315068,0.29078,-7.708812
raw,QAOA,4,16,2,asap,2,1,8,8,34,34,2,2.239437,2.239437,0.0,0.542254,0.542254,0.0
raw,QAOA,4,16,2,greedy_critical,2,1,8,8,34,34,2,2.239437,2.271429,1.428573,0.542254,0.564286,4.063041
raw,QAOA,4,16,2,shifted_critical,2,1,8,8,34,34,2,2.239437,2.271429,1.428573,0.542254,0.564286,4.063041
raw,QAOA,4,16,2,stall_aware_shifted,2,1,8,8,34,34,2,2.239437,2.271429,1.428573,0.542254,0.564286,4.063041
raw,QAOA,4,16,2,asap,2,2,8,4,34,34,2,1.756906,1.756906,0.0,0.370166,0.370166,0.0
raw,QAOA,4,16,2,greedy_critical,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.370166,0.5,35.074534
raw,QAOA,4,16,2,shifted_critical,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.370166,0.5,35.074534
raw,QAOA,4,16,2,stall_aware_shifted,2,2,8,4,34,34,2,1.756906,1.806818,2.840903,0.370166,0.482955,30.469843
raw,QAOA,4,16,2,asap,2,2,8,8,34,34,2,1.79661,1.79661,0.0,0.632768,0.632768,0.0
raw,QAOA,4,16,2,greedy_critical,2,2,8,8,34,34,2,1.79661,1.817143,1.142875,0.632768,0.651429,2.949106
raw,QAOA,4,16,2,shifted_critical,2,2,8,8,34,34,2,1.79661,1.817143,1.142875,0.632768,0.651429,2.949106
raw,QAOA,4,16,2,stall_aware_shifted,2,2,8,8,34,34,2,1.79661,1.817143,1.142875,0.632768,0.651429,2.949106
raw,QAOA,4,16,3,asap,1,1,8,4,31,31,2,2.971963,2.971963,0.0,0.140187,0.140187,0.0
raw,QAOA,4,16,3,greedy_critical,1,1,8,4,31,31,2,2.971963,3.087379,3.883494,0.140187,0.165049,17.734883
raw,QAOA,4,16,3,shifted_critical,1,1,8,4,31,31,2,2.971963,3.087379,3.883494,0.140187,0.135922,-3.042365
raw,QAOA,4,16,3,stall_aware_shifted,1,1,8,4,31,31,2,2.971963,3.087379,3.883494,0.140187,0.135922,-3.042365
raw,QAOA,4,16,3,asap,1,1,8,8,31,31,2,3.278351,3.278351,0.0,0.268041,0.268041,0.0
raw,QAOA,4,16,3,greedy_critical,1,1,8,8,31,31,2,3.278351,3.3125,1.041652,0.268041,0.395833,47.676288
raw,QAOA,4,16,3,shifted_critical,1,1,8,8,31,31,2,3.278351,3.3125,1.041652,0.268041,0.395833,47.676288
raw,QAOA,4,16,3,stall_aware_shifted,1,1,8,8,31,31,2,3.278351,3.3125,1.041652,0.268041,0.395833,47.676288
raw,QAOA,4,16,3,asap,1,2,8,4,31,31,2,2.373134,2.373134,0.0,0.291045,0.291045,0.0
raw,QAOA,4,16,3,greedy_critical,1,2,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,shifted_critical,1,2,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,stall_aware_shifted,1,2,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,asap,1,2,8,8,31,31,2,2.465116,2.465116,0.0,0.449612,0.449612,0.0
raw,QAOA,4,16,3,greedy_critical,1,2,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,shifted_critical,1,2,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,stall_aware_shifted,1,2,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,asap,2,1,8,4,31,31,2,2.373134,2.373134,0.0,0.291045,0.291045,0.0
raw,QAOA,4,16,3,greedy_critical,2,1,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,shifted_critical,2,1,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,stall_aware_shifted,2,1,8,4,31,31,2,2.373134,2.465116,3.875972,0.291045,0.271318,-6.77799
raw,QAOA,4,16,3,asap,2,1,8,8,31,31,2,2.465116,2.465116,0.0,0.449612,0.449612,0.0
raw,QAOA,4,16,3,greedy_critical,2,1,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,shifted_critical,2,1,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,stall_aware_shifted,2,1,8,8,31,31,2,2.465116,2.484375,0.781261,0.449612,0.546875,21.632652
raw,QAOA,4,16,3,asap,2,2,8,4,31,31,2,1.939024,1.939024,0.0,0.359756,0.359756,0.0
raw,QAOA,4,16,3,greedy_critical,2,2,8,4,31,31,2,1.939024,1.975155,1.86336,0.359756,0.440994,22.581416
raw,QAOA,4,16,3,shifted_critical,2,2,8,4,31,31,2,1.939024,1.975155,1.86336,0.359756,0.403727,12.222451
raw,QAOA,4,16,3,stall_aware_shifted,2,2,8,4,31,31,2,1.939024,1.975155,1.86336,0.359756,0.409938,13.948899
raw,QAOA,4,16,3,asap,2,2,8,8,31,31,2,1.975155,1.975155,0.0,0.559006,0.559006,0.0
raw,QAOA,4,16,3,greedy_critical,2,2,8,8,31,31,2,1.975155,1.9875,0.625014,0.559006,0.6375,14.04171
raw,QAOA,4,16,3,shifted_critical,2,2,8,8,31,31,2,1.975155,1.9875,0.625014,0.559006,0.6375,14.04171
raw,QAOA,4,16,3,stall_aware_shifted,2,2,8,8,31,31,2,1.975155,1.9875,0.625014,0.559006,0.6375,14.04171
raw,QAOA,4,16,4,asap,1,1,8,4,34,34,2,2.765217,2.765217,0.0,0.165217,0.165217,0.0
raw,QAOA,4,16,4,greedy_critical,1,1,8,4,34,34,2,2.765217,2.864865,3.603623,0.165217,0.198198,19.962231
raw,QAOA,4,16,4,shifted_critical,1,1,8,4,34,34,2,2.765217,2.864865,3.603623,0.165217,0.189189,14.509403
raw,QAOA,4,16,4,stall_aware_shifted,1,1,8,4,34,34,2,2.765217,2.839286,2.678596,0.165217,0.116071,-29.746334
raw,QAOA,4,16,4,asap,1,1,8,8,34,34,2,2.944444,2.944444,0.0,0.324074,0.324074,0.0
raw,QAOA,4,16,4,greedy_critical,1,1,8,8,34,34,2,2.944444,3.028571,2.857144,0.324074,0.4,23.4286
