algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,4,16,greedy_critical,next_cycle,8,1,1,4,4,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.384783,0.484756,0.099973,25.981657
QAOA,4,16,greedy_critical,next_cycle,8,1,1,4,8,5,5,34.0,2.0,94.117647,3.078261,3.878049,0.799788,25.981812,0.122642,0.012195,-0.110447,90.056424,0.384783,0.484756,0.099973,25.981657
QAOA,4,16,greedy_critical,next_cycle,8,1,1,8,4,5,5,34.0,2.0,94.117647,3.0,3.878049,0.878049,29.2683,0.157407,0.329268,0.171861,-109.182565,0.375,0.484756,0.109756,29.268267
QAOA,4,16,greedy_critical,next_cycle,8,1,1,8,8,5,5,34.0,2.0,94.117647,3.105263,7.571429,4.466166,143.825692,0.395833,0.02381,-0.372023,93.984837,0.388158,0.946429,0.558271,143.82571
QAOA,4,16,greedy_critical,next_cycle,8,1,2,4,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,1,2,4,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.337349,0.066031,-24.337125,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,greedy_critical,next_cycle,8,2,1,4,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,2,1,4,8,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.24031,0.024096,-0.216214,89.972952,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,2,1,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.337349,0.066031,-24.337125,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,2,1,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,greedy_critical,next_cycle,8,2,2,4,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.231675,0.473214,0.241539,104.257689
QAOA,4,16,greedy_critical,next_cycle,8,2,2,4,8,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.371728,0.035714,-0.336014,90.392437,0.231675,0.473214,0.241539,104.257689
QAOA,4,16,greedy_critical,next_cycle,8,2,2,8,4,5,5,34.0,2.0,94.117647,1.853403,3.785714,1.932311,104.257466,0.440994,0.322581,-0.118413,26.851386,0.231675,0.473214,0.241539,104.257689
QAOA,4,16,greedy_critical,next_cycle,8,2,2,8,8,5,5,34.0,2.0,94.117647,1.863158,7.066667,5.203509,279.284366,0.6375,0.066667,-0.570833,89.542431,0.232895,0.883333,0.650438,279.283797
QAOA,6,36,asap,next_cycle,4,1,1,4,4,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.95625,0.993976,0.037726,3.945203
QAOA,6,36,asap,next_cycle,4,1,1,4,8,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.95625,0.993976,0.037726,3.945203
QAOA,6,36,asap,next_cycle,4,1,1,8,4,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.95625,0.993976,0.037726,3.945203
QAOA,6,36,asap,next_cycle,4,1,1,8,8,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.95625,0.993976,0.037726,3.945203
QAOA,6,36,asap,next_cycle,4,1,2,4,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,1,2,4,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,1,2,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,1,2,8,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,2,1,4,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,2,1,4,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,2,1,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,2,1,8,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.902123,0.991587,0.089464,9.917051
QAOA,6,36,asap,next_cycle,4,2,2,4,4,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.827922,0.989209,0.161287,19.480941
QAOA,6,36,asap,next_cycle,4,2,2,4,8,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.827922,0.989209,0.161287,19.480941
QAOA,6,36,asap,next_cycle,4,2,2,8,4,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.827922,0.989209,0.161287,19.480941
QAOA,6,36,asap,next_cycle,4,2,2,8,8,5,5,76.0,2.0,97.368421,3.311688,3.956835,0.645147,19.480911,0.089669,0.007353,-0.082316,91.799842,0.827922,0.989209,0.161287,19.480941
QAOA,6,36,asap,next_cycle,8,1,1,4,4,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.478125,0.496988,0.018863,3.945203
QAOA,6,36,asap,next_cycle,8,1,1,4,8,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0225,0.002463,-0.020037,89.053333,0.478125,0.496988,0.018863,3.945203
QAOA,6,36,asap,next_cycle,8,1,1,8,4,5,5,76.0,2.0,97.368421,3.825,3.975904,0.150904,3.945203,0.0325,0.233766,0.201266,-619.28,0.478125,0.496988,0.018863,3.945203
QAOA,6,36,asap,next_cycle,8,1,1,8,8,5,5,76.0,2.0,97.368421,6.044944,7.894737,1.849793,30.600664,0.090196,0.004902,-0.085294,94.565169,0.755618,0.986842,0.231224,30.600647
QAOA,6,36,asap,next_cycle,8,1,2,4,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,1,2,4,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.028037,7.857143,2.829106,56.266611,0.178683,0.009756,-0.168927,94.540051,0.628505,0.982143,0.353638,56.266537
QAOA,6,36,asap,next_cycle,8,2,1,4,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,2,1,4,8,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.042453,0.004914,-0.037539,88.424846,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,2,1,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495793,0.044732,9.917062
