algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,raw,greedy_critical,next_cycle,8,1,2,8,8,5,318.0,140.0,34.0,2.328947,2.271429,2.638739,0.546875,0.502269,0.557143,0.291118,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,1,4,4,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.289216,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,1,4,8,5,318.0,141.0,34.0,2.313725,2.255319,2.60544,0.24031,0.202393,0.312056,0.289216,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,1,8,4,5,318.0,141.0,34.0,2.313725,2.255319,2.593902,0.271318,0.205416,0.343971,0.289216,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,1,8,8,5,318.0,140.0,34.0,2.328947,2.271429,2.638739,0.546875,0.502269,0.557143,0.291118,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,2,4,4,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.231675,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,2,4,8,5,318.0,176.0,34.0,1.853403,1.806818,2.089619,0.371728,0.339693,0.426137,0.231675,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,2,8,4,5,318.0,176.0,34.0,1.853403,1.806818,2.082172,0.440994,0.393377,0.474432,0.231675,34.0,2.0
QAOA,4,16,raw,greedy_critical,next_cycle,8,2,2,8,8,5,318.0,175.0,34.0,1.863158,1.817143,2.110991,0.6375,0.601815,0.645714,0.232895,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,1,4,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,1,4,8,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,4,1,1,8,4,5,318.0,82.0,2.0,3.878049,3.878049,3.896862,0.012195,0.011519,0.012195,0.969512,34.0,2.0
