algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,10,100,greedy_critical,same_cycle,2,2,2,,,5,12042.0,6025.0,1.998672,1.998655,1.998679,0.000498,0.000495,0.000505,0.999336,217.0
QAOA,10,100,greedy_critical,same_cycle,2,2,3,,,5,12042.0,6026.0,1.998341,1.998318,1.99835,0.000664,0.00066,0.000673,0.99917,217.0
QAOA,10,100,greedy_critical,same_cycle,2,2,5,,,5,12042.0,6028.0,1.997678,1.997646,1.997691,0.000995,0.000989,0.001009,0.998839,217.0
QAOA,10,100,greedy_critical,same_cycle,2,3,1,,,5,12042.0,6025.0,1.998672,1.998655,1.998679,0.000498,0.000495,0.000505,0.999336,217.0
QAOA,10,100,greedy_critical,same_cycle,2,3,2,,,5,12042.0,6026.0,1.998341,1.998318,1.99835,0.000664,0.00066,0.000673,0.99917,217.0
QAOA,10,100,greedy_critical,same_cycle,2,3,3,,,5,12042.0,6027.0,1.998009,1.997982,1.99802,0.00083,0.000825,0.000841,0.999004,217.0
QAOA,10,100,greedy_critical,same_cycle,2,3,5,,,5,12042.0,6029.0,1.997346,1.99731,1.997362,0.001161,0.001154,0.001177,0.998673,217.0
QAOA,10,100,greedy_critical,same_cycle,4,1,1,,,5,12042.0,3013.0,3.996681,3.996636,3.99703,0.000332,0.00033,0.000336,0.99917,217.0
QAOA,10,100,greedy_critical,same_cycle,4,1,2,,,5,12042.0,3014.0,3.995355,3.995291,3.995712,0.000664,0.00066,0.000672,0.998839,217.0
QAOA,10,100,greedy_critical,same_cycle,4,1,3,,,5,12042.0,3015.0,3.99403,3.993949,3.994394,0.000995,0.000989,0.001008,0.998507,217.0
QAOA,10,100,greedy_critical,same_cycle,4,1,5,,,5,12042.0,3018.0,3.991216,3.980585,3.991378,0.001671,0.001651,0.003307,0.997804,217.0
QAOA,10,100,greedy_critical,same_cycle,4,2,1,,,5,12042.0,3014.0,3.995355,3.995291,3.995712,0.000664,0.00066,0.000672,0.998839,217.0
