algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,asap,next_cycle,2,2,2,,4,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
QAOA,4,16,asap,next_cycle,2,2,2,,8,5,318.0,199.0,1.639175,1.570839,1.742357,0.130653,0.081499,0.152112,0.819588,34.0
QAOA,4,16,asap,next_cycle,2,2,3,,1,5,318.0,335.0,0.961957,0.940902,0.974191,0.230303,0.209322,0.251368,0.480978,34.0
QAOA,4,16,asap,next_cycle,2,2,3,,2,5,318.0,233.0,1.427419,1.358999,1.551693,0.224771,0.1718,0.25636,0.71371,34.0
QAOA,4,16,asap,next_cycle,2,2,3,,4,5,318.0,233.0,1.427419,1.358999,1.551693,0.224771,0.1718,0.25636,0.71371,34.0
QAOA,4,16,asap,next_cycle,2,2,3,,8,5,318.0,233.0,1.427419,1.358999,1.551693,0.224771,0.1718,0.25636,0.71371,34.0
QAOA,4,16,asap,next_cycle,4,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.199377,0.19375,0.207081,0.248438,34.0
QAOA,4,16,asap,next_cycle,4,1,1,,2,5,318.0,166.0,1.923913,1.893126,1.957317,0.097826,0.091464,0.122006,0.480978,34.0
QAOA,4,16,asap,next_cycle,4,1,1,,4,5,318.0,115.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0
QAOA,4,16,asap,next_cycle,4,1,1,,8,5,318.0,115.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0
QAOA,4,16,asap,next_cycle,4,1,2,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.195652,0.188154,0.202769,0.246894,34.0
QAOA,4,16,asap,next_cycle,4,1,2,,2,5,318.0,176.0,1.83815,1.772261,1.890987,0.109827,0.09474,0.164245,0.459538,34.0
QAOA,4,16,asap,next_cycle,4,1,2,,4,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,1,2,,8,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,1,3,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.20122,0.194183,0.209414,0.244615,34.0
QAOA,4,16,asap,next_cycle,4,1,3,,2,5,318.0,196.0,1.630769,1.590637,1.75536,0.163265,0.139847,0.227791,0.407692,34.0
