dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,issue_width,l_meas,l_ff,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,2,1,12096,898,13.469933,69,0.076837,0.841871
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,2,1,12096,965,12.534715,70,0.072539,0.78342
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,2,1,12096,830,14.573494,46,0.055422,0.910843
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,2,1,12096,904,13.380531,66,0.073009,0.836283
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,2,2,12096,1007,12.011917,152,0.150943,0.750745
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,2,2,12096,1061,11.400566,154,0.145146,0.712535
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,2,2,12096,895,13.515084,105,0.117318,0.844693
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,2,2,12096,1005,12.035821,151,0.150249,0.752239
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,2,3,12096,1153,10.490893,230,0.19948,0.655681
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,2,3,12096,1184,10.216216,238,0.201014,0.638514
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,2,3,12096,1091,11.087076,270,0.247479,0.692942
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,2,3,12096,1149,10.527415,259,0.225413,0.657963
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,2,5,12096,1537,7.869876,523,0.340273,0.491867
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,2,5,12096,1537,7.869876,517,0.33637,0.491867
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,2,5,12096,1527,7.921415,650,0.425671,0.495088
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,2,5,12096,1535,7.88013,541,0.352443,0.492508
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,3,1,12096,1007,12.011917,152,0.150943,0.750745
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,3,1,12096,1061,11.400566,154,0.145146,0.712535
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,3,1,12096,895,13.515084,105,0.117318,0.844693
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,3,1,12096,1005,12.035821,151,0.150249,0.752239
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,3,2,12096,1153,10.490893,230,0.19948,0.655681
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,3,2,12096,1184,10.216216,238,0.201014,0.638514
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,3,2,12096,1091,11.087076,270,0.247479,0.692942
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,3,2,12096,1149,10.527415,259,0.225413,0.657963
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,3,3,12096,1328,9.108434,351,0.264307,0.569277
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,3,3,12096,1346,8.986627,359,0.266716,0.561664
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,3,3,12096,1309,9.240642,457,0.349121,0.57754
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,3,3,12096,1327,9.115298,375,0.282592,0.569706
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,asap,16,3,5,12096,1755,6.892308,724,0.412536,0.430769
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,layer,16,3,5,12096,1755,6.892308,720,0.410256,0.430769
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,greedy_critical,16,3,5,12096,1745,6.931805,868,0.497421,0.433238
QAOA_H10_Q100_s0,QAOA,10,100,0,217,2,random,16,3,5,12096,1753,6.900171,759,0.432972,0.431261
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,1,1,11814,11816,0.999831,1,8.5e-05,0.999831
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,1,1,11814,11816,0.999831,1,8.5e-05,0.999831
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,1,1,11814,11816,0.999831,1,8.5e-05,0.999831
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,1,1,11814,11817,0.999746,2,0.000169,0.999746
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,1,2,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,1,2,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,1,2,11814,11817,0.999746,2,0.000169,0.999746
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,1,2,11814,11817,0.999746,2,0.000169,0.999746
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,1,3,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,1,3,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,1,3,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,1,3,11814,11822,0.999323,7,0.000592,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,1,5,11814,11827,0.998901,12,0.001015,0.998901
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,1,5,11814,11827,0.998901,12,0.001015,0.998901
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,1,5,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,1,5,11814,11839,0.997888,24,0.002027,0.997888
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,2,1,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,2,1,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,2,1,11814,11817,0.999746,2,0.000169,0.999746
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,2,1,11814,11817,0.999746,2,0.000169,0.999746
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,2,2,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,2,2,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,2,2,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,2,2,11814,11822,0.999323,7,0.000592,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,2,3,11814,11823,0.999239,8,0.000677,0.999239
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,2,3,11814,11823,0.999239,8,0.000677,0.999239
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,2,3,11814,11819,0.999577,4,0.000338,0.999577
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,2,3,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,2,5,11814,11831,0.998563,16,0.001352,0.998563
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,2,5,11814,11831,0.998563,16,0.001352,0.998563
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,2,5,11814,11821,0.999408,6,0.000508,0.999408
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,2,5,11814,11840,0.997804,25,0.002111,0.997804
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,3,1,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,3,1,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,3,1,11814,11818,0.999662,3,0.000254,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,3,1,11814,11822,0.999323,7,0.000592,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,3,2,11814,11823,0.999239,8,0.000677,0.999239
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,3,2,11814,11823,0.999239,8,0.000677,0.999239
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,3,2,11814,11819,0.999577,4,0.000338,0.999577
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,3,2,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,3,3,11814,11827,0.998901,12,0.001015,0.998901
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,3,3,11814,11827,0.998901,12,0.001015,0.998901
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,3,3,11814,11820,0.999492,5,0.000423,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,3,3,11814,11839,0.997888,24,0.002027,0.997888
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,1,3,5,11814,11835,0.998226,20,0.00169,0.998226
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,1,3,5,11814,11835,0.998226,20,0.00169,0.998226
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,1,3,5,11814,11822,0.999323,7,0.000592,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,1,3,5,11814,11828,0.998816,13,0.001099,0.998816
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,1,1,11814,5910,1.998985,1,0.000169,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,1,1,11814,5957,1.983213,1,0.000168,0.991607
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,1,1,11814,5909,1.999323,1,0.000169,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,1,1,11814,5909,1.999323,1,0.000169,0.999662
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,1,2,11814,5914,1.997633,4,0.000676,0.998816
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,1,2,11814,5961,1.981882,4,0.000671,0.990941
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,1,2,11814,5910,1.998985,2,0.000338,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,1,2,11814,5913,1.997971,3,0.000507,0.998985
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,1,3,11814,5918,1.996283,8,0.001352,0.998141
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,1,3,11814,5965,1.980553,8,0.001341,0.990277
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,1,3,11814,5911,1.998647,3,0.000508,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,1,3,11814,5920,1.995608,9,0.00152,0.997804
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,1,5,11814,5929,1.992579,16,0.002699,0.996289
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,1,5,11814,5974,1.977569,16,0.002678,0.988785
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,1,5,11814,5913,1.997971,5,0.000846,0.998985
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,1,5,11814,5933,1.991235,17,0.002865,0.995618
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,2,1,11814,5914,1.997633,4,0.000676,0.998816
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,2,1,11814,5961,1.981882,4,0.000671,0.990941
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,2,1,11814,5910,1.998985,2,0.000338,0.999492
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,2,1,11814,5913,1.997971,3,0.000507,0.998985
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,2,2,11814,5918,1.996283,8,0.001352,0.998141
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,2,2,11814,5965,1.980553,8,0.001341,0.990277
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,2,2,11814,5911,1.998647,3,0.000508,0.999323
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,2,2,11814,5920,1.995608,9,0.00152,0.997804
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,2,3,11814,5922,1.994934,11,0.001857,0.997467
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,2,3,11814,5969,1.979226,11,0.001843,0.989613
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,2,3,11814,5912,1.998309,4,0.000677,0.999154
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,2,3,11814,5920,1.995608,10,0.001689,0.997804
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,2,5,11814,5941,1.988554,27,0.004545,0.994277
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,layer,2,2,5,11814,5983,1.974595,25,0.004179,0.987297
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,greedy_critical,2,2,5,11814,5914,1.997633,6,0.001015,0.998816
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,random,2,2,5,11814,5938,1.989559,20,0.003368,0.994779
QAOA_H10_Q100_s1,QAOA,10,100,1,214,2,asap,2,3,1,11814,5918,1.996283,8,0.001352,0.998141
