algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,4,4,2,1,2,0.500000,810,810,1.000000,1.992593,1.992593,0.000000,0.366667,0.003704,-0.362963
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,4,4,3,1,2,0.750000,541,541,1.000000,2.983364,2.983364,0.000000,0.157116,0.003697,-0.153419
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,4,4,4,1,2,1.000000,407,407,1.000000,3.965602,3.965602,0.000000,0.004914,0.004914,0.000000
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,8,8,2,1,2,0.250000,810,810,1.000000,1.992593,1.992593,0.000000,0.52716,0.006173,-0.520987
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,8,8,3,1,2,0.375000,541,541,1.000000,2.983364,2.983364,0.000000,0.362292,0.005545,-0.356747
QAOA,6,36,0,QAOA_H6_Q36_s0_shifted,8,8,4,1,2,0.500000,407,407,1.000000,3.965602,3.965602,0.000000,0.230958,0.007371,-0.223587
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,16,16,2,1,2,0.125000,801,801,1.000000,1.992509,1.992509,0.000000,0.605493,0.011236,-0.594257
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,16,16,3,1,2,0.187500,535,535,1.000000,2.983178,2.983178,0.000000,0.442991,0.011215,-0.431776
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,16,16,4,1,2,0.250000,402,402,1.000000,3.970149,3.970149,0.000000,0.30597,0.012438,-0.293532
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,4,4,2,1,2,0.500000,801,801,1.000000,1.992509,1.992509,0.000000,0.369538,0.003745,-0.365793
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,4,4,3,1,2,0.750000,535,535,1.000000,2.983178,2.983178,0.000000,0.164486,0.003738,-0.160748
QAOA,6,36,1,QAOA_H6_Q36_s1_shifted,4,4,4,1,2,1.000000,402,402,1.000000,3.970149,3.970149,0.000000,0.004975,0.004975,0.000000
