algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
VQE,4,16,greedy_critical,next_cycle,8,1,2,8,5,5,5,15.0,1.0,93.333333,3.710145,4.654545,0.9444,25.454531,0.130435,0.254545,0.12411,-95.150841,0.463768,0.581818,0.11805,25.454538
VQE,4,16,greedy_critical,next_cycle,8,1,2,8,6,5,5,15.0,1.0,93.333333,3.938462,5.446809,1.508347,38.297869,0.092308,0.170213,0.077905,-84.396802,0.492308,0.680851,0.188543,38.297773
VQE,4,16,greedy_critical,next_cycle,8,1,2,8,7,5,5,15.0,1.0,93.333333,4.0,6.095238,2.095238,52.38095,0.140625,0.071429,-0.069196,49.206044,0.5,0.761905,0.261905,52.381
VQE,4,16,greedy_critical,next_cycle,8,1,2,8,8,5,5,15.0,1.0,93.333333,4.0,6.918919,2.918919,72.972975,0.15625,0.054054,-0.102196,65.40544,0.5,0.864865,0.364865,72.973
VQE,4,16,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,15.0,1.0,93.333333,3.160494,3.820896,0.660402,20.895531,0.074074,0.462687,0.388613,-524.628075,0.395062,0.477612,0.08255,20.895454
VQE,4,16,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,15.0,1.0,93.333333,3.605634,4.654545,1.048911,29.090889,0.098592,0.381818,0.283226,-287.270772,0.450704,0.581818,0.131114,29.090933
VQE,4,16,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,15.0,1.0,93.333333,3.820896,5.446809,1.625913,42.553186,0.164179,0.276596,0.112417,-68.472216,0.477612,0.680851,0.203239,42.55316
VQE,4,16,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,15.0,1.0,93.333333,4.0,6.095238,2.095238,52.38095,0.265625,0.190476,-0.075149,28.291388,0.5,0.761905,0.261905,52.381
VQE,4,16,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,15.0,1.0,93.333333,4.0,6.918919,2.918919,72.972975,0.171875,0.081081,-0.090794,52.8256,0.5,0.864865,0.364865,72.973
VQE,6,36,asap,next_cycle,8,1,2,8,4,5,5,35.0,1.0,97.142857,3.778426,3.963303,0.184877,4.892963,0.026239,0.434251,0.408012,-1554.983041,0.472303,0.495413,0.02311,4.893045
VQE,6,36,asap,next_cycle,8,1,2,8,5,5,5,35.0,1.0,97.142857,4.628571,4.927757,0.299186,6.463896,0.042857,0.311787,0.26893,-627.505425,0.578571,0.61597,0.037399,6.464029
VQE,6,36,asap,next_cycle,8,1,2,8,6,5,5,35.0,1.0,97.142857,5.377593,5.917808,0.540215,10.045665,0.049793,0.191781,0.141988,-285.156548,0.672199,0.739726,0.067527,10.045686
VQE,6,36,asap,next_cycle,8,1,2,8,7,5,5,35.0,1.0,97.142857,6.056075,6.857143,0.801068,13.227511,0.074766,0.084656,0.00989,-13.227938,0.757009,0.857143,0.100134,13.227584
VQE,6,36,asap,next_cycle,8,1,2,8,8,5,5,35.0,1.0,97.142857,6.646154,7.854545,1.208391,18.181809,0.082051,0.012121,-0.06993,85.22748,0.830769,0.981818,0.151049,18.181829
VQE,6,36,greedy_critical,next_cycle,8,1,2,8,4,5,5,35.0,1.0,97.142857,3.83432,3.963303,0.128983,3.363908,0.011834,0.434251,0.422417,-3569.520027,0.47929,0.495413,0.016123,3.363934
VQE,6,36,greedy_critical,next_cycle,8,1,2,8,5,5,5,35.0,1.0,97.142857,4.695652,4.927757,0.232105,4.942977,0.032609,0.311787,0.279178,-856.137876,0.586957,0.61597,0.029013,4.942952
VQE,6,36,greedy_critical,next_cycle,8,1,2,8,6,5,5,35.0,1.0,97.142857,5.514894,5.917808,0.402914,7.305925,0.038298,0.191781,0.153483,-400.759831,0.689362,0.739726,0.050364,7.305886
VQE,6,36,greedy_critical,next_cycle,8,1,2,8,7,5,5,35.0,1.0,97.142857,6.291262,6.857143,0.565881,8.994714,0.048544,0.084656,0.036112,-74.390244,0.786408,0.857143,0.070735,8.994695
VQE,6,36,greedy_critical,next_cycle,8,1,2,8,8,5,5,35.0,1.0,97.142857,7.854545,7.854545,0.0,0.0,0.012121,0.012121,0.0,0.0,0.981818,0.981818,0.0,0.0
VQE,6,36,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,35.0,1.0,97.142857,3.767442,3.963303,0.195861,5.198779,0.031977,0.498471,0.466494,-1458.842293,0.47093,0.495413,0.024483,5.198862
VQE,6,36,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,35.0,1.0,97.142857,4.56338,4.927757,0.364377,7.984805,0.038732,0.376426,0.337694,-871.873386,0.570423,0.61597,0.045547,7.984776
VQE,6,36,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,35.0,1.0,97.142857,5.289796,5.917808,0.628012,11.87214,0.061224,0.251142,0.189918,-310.201882,0.661224,0.739726,0.078502,11.872225
VQE,6,36,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,35.0,1.0,97.142857,5.890909,6.857143,0.966234,16.402121,0.081818,0.132275,0.050457,-61.669804,0.736364,0.857143,0.120779,16.402078
VQE,6,36,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,35.0,1.0,97.142857,7.854545,7.854545,0.0,0.0,0.012121,0.012121,0.0,0.0,0.981818,0.981818,0.0,0.0
VQE,8,64,asap,next_cycle,8,1,2,8,4,5,5,63.0,1.0,98.412698,3.927133,3.988315,0.061182,1.55793,0.008629,0.462512,0.453883,-5259.972187,0.490892,0.498539,0.007647,1.557776
VQE,8,64,asap,next_cycle,8,1,2,8,5,5,5,63.0,1.0,98.412698,4.87619,4.976914,0.100724,2.065629,0.014286,0.336574,0.322288,-2255.970881,0.609524,0.622114,0.01259,2.065546
VQE,8,64,asap,next_cycle,8,1,2,8,6,5,5,63.0,1.0,98.412698,5.785311,5.970845,0.185534,3.206984,0.011299,0.214286,0.202987,-1796.504115,0.723164,0.746356,0.023192,3.207018
VQE,8,64,asap,next_cycle,8,1,2,8,7,5,5,63.0,1.0,98.412698,6.67101,6.95416,0.28315,4.244485,0.026059,0.098472,0.072413,-277.880962,0.833876,0.86927,0.035394,4.244516
VQE,8,64,asap,next_cycle,8,1,2,8,8,5,5,63.0,1.0,98.412698,7.515596,7.953398,0.437802,5.825247,0.029358,0.003883,-0.025475,86.773622,0.93945,0.994175,0.054725,5.825217
VQE,8,64,greedy_critical,next_cycle,8,1,2,8,4,5,5,63.0,1.0,98.412698,3.953668,3.988315,0.034647,0.876325,0.006757,0.462512,0.455755,-6744.931182,0.494208,0.498539,0.004331,0.876352
VQE,8,64,greedy_critical,next_cycle,8,1,2,8,5,5,5,63.0,1.0,98.412698,4.905389,4.976914,0.071525,1.45809,0.010778,0.336574,0.325796,-3022.787159,0.613174,0.622114,0.00894,1.457987
VQE,8,64,greedy_critical,next_cycle,8,1,2,8,6,5,5,63.0,1.0,98.412698,5.843081,5.970845,0.127764,2.186586,0.014265,0.214286,0.200021,-1402.180161,0.730385,0.746356,0.015971,2.186655
VQE,8,64,greedy_critical,next_cycle,8,1,2,8,7,5,5,63.0,1.0,98.412698,6.792703,6.95416,0.161457,2.376918,0.014925,0.098472,0.083547,-559.778894,0.849088,0.86927,0.020182,2.376903
VQE,8,64,greedy_critical,next_cycle,8,1,2,8,8,5,5,63.0,1.0,98.412698,7.953398,7.953398,0.0,0.0,0.003883,0.003883,0.0,0.0,0.994175,0.994175,0.0,0.0
VQE,8,64,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,63.0,1.0,98.412698,3.91213,3.988315,0.076185,1.947405,0.013372,0.499513,0.486141,-3635.514508,0.489016,0.498539,0.009523,1.94738
VQE,8,64,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,63.0,1.0,98.412698,4.835891,4.976914,0.141023,2.916174,0.022432,0.375456,0.353024,-1573.751783,0.604486,0.622114,0.017628,2.916197
VQE,8,64,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,63.0,1.0,98.412698,5.704735,5.970845,0.26611,4.664721,0.023677,0.250729,0.227052,-958.955949,0.713092,0.746356,0.033264,4.664756
VQE,8,64,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,63.0,1.0,98.412698,6.511924,6.95416,0.442236,6.791173,0.047695,0.127334,0.079639,-166.975574,0.81399,0.86927,0.05528,6.791238
VQE,8,64,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,63.0,1.0,98.412698,7.953398,7.953398,0.0,0.0,0.003883,0.003883,0.0,0.0,0.994175,0.994175,0.0,0.0
