algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,6,5,1614.0,272.0,2.0,5.933824,5.93166,5.935252,0.186047,0.178163,0.19018,0.741728,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,7,5,1614.0,234.0,2.0,6.903766,6.894664,6.906429,0.081197,0.080289,0.082966,0.862971,76.0,2.0
QAOA,6,36,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,6,36,shifted,stall_aware_shifted,next_cycle,8,1,2,8,4,5,1614.0,407.0,2.0,3.966346,3.964666,3.968248,0.442308,0.434086,0.444741,0.495793,76.0,2.0
QAOA,6,36,shifted,stall_aware_shifted,next_cycle,8,1,2,8,5,5,1614.0,326.0,2.0,4.951456,4.946048,4.954955,0.306502,0.305257,0.311032,0.618932,76.0,2.0
QAOA,6,36,shifted,stall_aware_shifted,next_cycle,8,1,2,8,6,5,1614.0,272.0,2.0,5.933824,5.93166,5.935252,0.172794,0.171833,0.178936,0.741728,76.0,2.0
QAOA,6,36,shifted,stall_aware_shifted,next_cycle,8,1,2,8,7,5,1614.0,234.0,2.0,6.903766,6.894664,6.906429,0.051282,0.04642,0.056485,0.862971,76.0,2.0
QAOA,6,36,shifted,stall_aware_shifted,next_cycle,8,1,2,8,8,5,1614.0,205.0,2.0,7.857143,7.851648,7.86762,0.009756,0.009524,0.010054,0.982143,76.0,2.0
QAOA,8,64,raw,asap,next_cycle,8,1,2,8,4,5,4962.0,1284.0,142.0,3.843895,3.82412,3.876955,0.034536,0.025171,0.037475,0.480487,142.0,2.0
QAOA,8,64,raw,asap,next_cycle,8,1,2,8,5,5,4962.0,1051.0,142.0,4.652712,4.627708,4.737433,0.043768,0.036518,0.047665,0.581589,142.0,2.0
QAOA,8,64,raw,asap,next_cycle,8,1,2,8,6,5,4962.0,908.0,142.0,5.39545,5.316149,5.514448,0.058036,0.048392,0.067727,0.674431,142.0,2.0
QAOA,8,64,raw,asap,next_cycle,8,1,2,8,7,5,4962.0,810.0,142.0,6.08802,5.923893,6.216485,0.067757,0.061424,0.07862,0.761002,142.0,2.0
QAOA,8,64,raw,asap,next_cycle,8,1,2,8,8,5,4962.0,744.0,142.0,6.693548,6.429981,6.850312,0.084677,0.068428,0.112667,0.836694,142.0,2.0
QAOA,8,64,raw,greedy_critical,next_cycle,8,1,2,8,4,5,4962.0,1276.0,142.0,3.882904,3.849494,3.900038,0.027581,0.013888,0.028392,0.485363,142.0,2.0
QAOA,8,64,raw,greedy_critical,next_cycle,8,1,2,8,5,5,4962.0,1040.0,142.0,4.706449,4.686447,4.779068,0.027911,0.026763,0.041438,0.588306,142.0,2.0
QAOA,8,64,raw,greedy_critical,next_cycle,8,1,2,8,6,5,4962.0,890.0,142.0,5.494382,5.425271,5.612201,0.048315,0.035993,0.062547,0.686798,142.0,2.0
QAOA,8,64,raw,greedy_critical,next_cycle,8,1,2,8,7,5,4962.0,791.0,142.0,6.225,6.073039,6.353287,0.050584,0.044761,0.064671,0.778125,142.0,2.0
QAOA,8,64,raw,greedy_critical,next_cycle,8,1,2,8,8,5,4962.0,660.0,142.0,7.490964,7.350226,7.585669,0.00463,0.003063,0.044385,0.93637,142.0,2.0
QAOA,8,64,raw,stall_aware_shifted,next_cycle,8,1,2,8,4,5,4962.0,1276.0,142.0,3.870817,3.849494,3.900038,0.020233,0.018113,0.027111,0.483852,142.0,2.0
QAOA,8,64,raw,stall_aware_shifted,next_cycle,8,1,2,8,5,5,4962.0,1040.0,142.0,4.701923,4.679833,4.77671,0.037594,0.029611,0.038987,0.58774,142.0,2.0
QAOA,8,64,raw,stall_aware_shifted,next_cycle,8,1,2,8,6,5,4962.0,892.0,142.0,5.484581,5.415225,5.599395,0.049327,0.038243,0.059279,0.685573,142.0,2.0
QAOA,8,64,raw,stall_aware_shifted,next_cycle,8,1,2,8,7,5,4962.0,792.0,142.0,6.225,6.065564,6.345073,0.07125,0.040718,0.074308,0.778125,142.0,2.0
QAOA,8,64,raw,stall_aware_shifted,next_cycle,8,1,2,8,8,5,4962.0,660.0,142.0,7.490964,7.350226,7.585669,0.022727,0.003091,0.045117,0.93637,142.0,2.0
QAOA,8,64,shifted,asap,next_cycle,8,1,2,8,4,5,4962.0,1244.0,2.0,3.988746,3.988538,3.989579,0.25226,0.249009,0.26294,0.498593,142.0,2.0
QAOA,8,64,shifted,asap,next_cycle,8,1,2,8,5,5,4962.0,996.0,2.0,4.983968,4.98275,4.984847,0.158317,0.155494,0.162907,0.622996,142.0,2.0
QAOA,8,64,shifted,asap,next_cycle,8,1,2,8,6,5,4962.0,830.0,2.0,5.978313,5.977914,5.978378,0.112048,0.109309,0.116562,0.747289,142.0,2.0
QAOA,8,64,shifted,asap,next_cycle,8,1,2,8,7,5,4962.0,712.0,2.0,6.965812,6.964583,6.967744,0.062678,0.061712,0.063033,0.870726,142.0,2.0
QAOA,8,64,shifted,asap,next_cycle,8,1,2,8,8,5,4962.0,624.0,2.0,7.955272,7.951572,7.957889,0.003205,0.003197,0.003266,0.994409,142.0,2.0
QAOA,8,64,shifted,greedy_critical,next_cycle,8,1,2,8,4,5,4962.0,1244.0,2.0,3.988746,3.988538,3.989579,0.453574,0.453109,0.454836,0.498593,142.0,2.0
QAOA,8,64,shifted,greedy_critical,next_cycle,8,1,2,8,5,5,4962.0,996.0,2.0,4.983968,4.98275,4.984847,0.325651,0.322248,0.328319,0.622996,142.0,2.0
QAOA,8,64,shifted,greedy_critical,next_cycle,8,1,2,8,6,5,4962.0,830.0,2.0,5.978313,5.977914,5.978378,0.209639,0.207288,0.210954,0.747289,142.0,2.0
QAOA,8,64,shifted,greedy_critical,next_cycle,8,1,2,8,7,5,4962.0,712.0,2.0,6.965812,6.964583,6.967744,0.096503,0.092202,0.098179,0.870726,142.0,2.0
QAOA,8,64,shifted,greedy_critical,next_cycle,8,1,2,8,8,5,4962.0,624.0,2.0,7.955272,7.951572,7.957889,0.003205,0.003197,0.003266,0.994409,142.0,2.0
