algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,regime_switch,stall_medium,underutilized,mixed,W8_M8_F4,6,11.070388,6,1.0,6,1.0,1,0.166667,moderate
QAOA,regime_switch_refined,stall_high,active,l2_l2,W8_M8_F8,3,83.82352,3,1.0,3,1.0,3,1.0,strong
QAOA,regime_switch_refined,stall_high,active,mixed,W8_M8_F8,8,58.292696,8,1.0,8,1.0,8,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,l1_l1,W8_M8_F4,2,33.5366,2,1.0,2,1.0,2,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,l1_l1,W8_M8_F8,5,141.666678,5,1.0,5,1.0,5,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,l2_l2,W8_M8_F4,5,105.376381,5,1.0,5,1.0,5,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,l2_l2,W8_M8_F8,7,257.777845,7,1.0,7,1.0,7,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,mixed,W8_M8_F4,8,68.091948,8,1.0,8,1.0,8,1.0,strong
QAOA,regime_switch_refined,stall_high,underutilized,mixed,W8_M8_F8,10,211.777779,10,1.0,10,1.0,10,1.0,strong
QAOA,regime_switch_refined,stall_low,near_saturation,l1_l1,W8_M8_F8,3,8.374386,3,1.0,3,1.0,0,0.0,moderate
QAOA,regime_switch_refined,stall_low,near_saturation,l2_l2,W8_M8_F8,1,9.280005,1,1.0,1,1.0,0,0.0,moderate
QAOA,regime_switch_refined,stall_low,near_saturation,mixed,W8_M8_F8,3,6.400004,3,1.0,3,1.0,0,0.0,moderate
QAOA,regime_switch_refined,stall_low,saturated,mixed,W8_M8_F8,1,3.846158,1,1.0,0,0.0,0,0.0,weak
QAOA,regime_switch_refined,stall_low,underutilized,l1_l1,W8_M8_F4,10,1.57744,10,1.0,1,0.1,0,0.0,weak
QAOA,regime_switch_refined,stall_low,underutilized,l2_l2,W8_M8_F4,5,6.275467,5,1.0,3,0.6,0,0.0,weak
QAOA,regime_switch_refined,stall_low,underutilized,mixed,W8_M8_F4,15,3.507345,15,1.0,3,0.2,0,0.0,weak
QAOA,regime_switch_refined,stall_medium,active,l1_l1,W8_M8_F8,3,31.4433,3,1.0,3,1.0,3,1.0,strong
QAOA,regime_switch_refined,stall_medium,active,l2_l2,W8_M8_F8,1,31.150168,1,1.0,1,1.0,1,1.0,strong
QAOA,regime_switch_refined,stall_medium,active,mixed,W8_M8_F8,3,45.714285,3,1.0,3,1.0,3,1.0,strong
QAOA,regime_switch_refined,stall_medium,near_saturation,l1_l1,W8_M8_F8,4,15.101773,4,1.0,4,1.0,1,0.25,moderate
QAOA,regime_switch_refined,stall_medium,near_saturation,l2_l2,W8_M8_F8,3,17.348624,3,1.0,3,1.0,1,0.333333,moderate
QAOA,regime_switch_refined,stall_medium,near_saturation,mixed,W8_M8_F8,5,17.868854,5,1.0,5,1.0,1,0.2,moderate
QAOA,regime_switch_refined,stall_medium,underutilized,l1_l1,W8_M8_F4,3,25.609749,3,1.0,3,1.0,2,0.666667,moderate
QAOA,regime_switch_refined,stall_medium,underutilized,l2_l2,W8_M8_F4,5,17.054268,5,1.0,5,1.0,1,0.2,moderate
QAOA,regime_switch_refined,stall_medium,underutilized,mixed,W8_M8_F4,7,11.547915,7,1.0,7,1.0,2,0.285714,moderate
QAOA,shifted_critical,stall_high,active,l2_l2,W8_M8_F8,4,78.609095,4,1.0,4,1.0,4,1.0,strong
QAOA,shifted_critical,stall_high,active,mixed,W8_M8_F8,10,50.2439,10,1.0,10,1.0,10,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,l1_l1,W8_M8_F4,2,33.5366,2,1.0,2,1.0,2,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,l1_l1,W8_M8_F8,5,142.553207,5,1.0,5,1.0,5,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,l2_l2,W8_M8_F4,5,105.376381,5,1.0,5,1.0,5,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,l2_l2,W8_M8_F8,7,255.555572,7,1.0,7,1.0,7,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,mixed,W8_M8_F4,8,68.091948,8,1.0,8,1.0,8,1.0,strong
QAOA,shifted_critical,stall_high,underutilized,mixed,W8_M8_F8,10,216.666717,10,1.0,10,1.0,10,1.0,strong
QAOA,shifted_critical,stall_low,near_saturation,l1_l1,W8_M8_F8,1,6.220104,1,1.0,1,1.0,0,0.0,moderate
QAOA,shifted_critical,stall_low,near_saturation,l2_l2,W8_M8_F8,1,9.280005,1,1.0,1,1.0,0,0.0,moderate
QAOA,shifted_critical,stall_low,near_saturation,mixed,W8_M8_F8,6,6.239998,6,1.0,6,1.0,0,0.0,moderate
QAOA,shifted_critical,stall_low,saturated,l1_l1,W8_M8_F8,5,1.442308,4,0.8,0,0.0,0,0.0,weak
QAOA,shifted_critical,stall_low,saturated,mixed,W8_M8_F8,2,3.846158,2,1.0,0,0.0,0,0.0,weak
