algorithm,hardware_size,logical_qubits,tau_ph_us,n_seeds,is_coupled,depth_raw_median,depth_raw_q1,depth_raw_q3,depth_raw_mean,depth_shifted_median,depth_shifted_q1,depth_shifted_q3,depth_reference_kind,depth_reference_median,depth_reference_q1,depth_reference_q3,t_ff_shifted_ns_median,t_ff_shifted_ns_q1,t_ff_shifted_ns_q3,hold_median,hold_q1,hold_q3,meas_median,meas_q1,meas_q3,t_ff_cond_ns_median,t_ff_cond_ns_q1,t_ff_cond_ns_q3,t_hold_ns_median,t_hold_ns_q1,t_hold_ns_q3,t_meas_ns_median,t_meas_ns_q1,t_meas_ns_q3,t_cons_ns_median,t_cons_ns_q1,t_cons_ns_q3,dominant_constraint
QFT,4,16,0.5,5,True,77.0,77.0,77.0,77.0,7.0,7.0,8.0,,,,,71.42857142857143,62.5,71.42857142857143,29.0,28.5,32.5,27.0,26.0,254.0,6.4935064935064934,6.4935064935064934,6.4935064935064934,17.24137931034483,15.417457305502847,17.549261083743843,18.51851851851852,2.280890804597701,19.23076923076923,6.4935064935064934,2.280890804597701,6.4935064935064934,dependency
QFT,4,16,1.0,5,True,77.0,77.0,77.0,77.0,7.0,7.0,8.0,,,,,142.85714285714286,125.0,142.85714285714286,29.0,28.5,32.5,27.0,26.0,254.0,12.987012987012987,12.987012987012987,12.987012987012987,34.48275862068966,30.834914611005694,35.09852216748769,37.03703703703704,4.561781609195402,38.46153846153846,12.987012987012987,4.561781609195402,12.987012987012987,dependency
QFT,4,16,5.0,5,True,77.0,77.0,77.0,77.0,7.0,7.0,8.0,,,,,714.2857142857143,625.0,714.2857142857143,29.0,28.5,32.5,27.0,26.0,254.0,64.93506493506493,64.93506493506493,64.93506493506493,172.41379310344828,154.17457305502847,175.49261083743843,185.1851851851852,22.808908045977013,192.30769230769232,64.93506493506493,22.808908045977013,64.93506493506493,dependency
QFT,6,36,0.5,5,True,177.0,177.0,177.0,177.0,17.0,16.0,17.0,,,,,29.41176470588235,29.41176470588235,31.25,39.0,36.0,42.5,822.0,432.5,1612.0,2.824858757062147,2.824858757062147,2.824858757062147,12.820512820512821,11.805555555555555,13.88888888888889,0.6082725060827251,0.3132209960660842,1.2903052578820497,0.6082725060827251,0.3132209960660842,1.2903052578820497,measurement
QFT,6,36,1.0,5,True,177.0,177.0,177.0,177.0,17.0,16.0,17.0,,,,,58.8235294117647,58.8235294117647,62.5,39.0,36.0,42.5,822.0,432.5,1612.0,5.649717514124294,5.649717514124294,5.649717514124294,25.641025641025642,23.61111111111111,27.77777777777778,1.2165450121654502,0.6264419921321684,2.5806105157640995,1.2165450121654502,0.6264419921321684,2.5806105157640995,measurement
QFT,6,36,5.0,5,True,177.0,177.0,177.0,177.0,17.0,16.0,17.0,,,,,294.11764705882354,294.11764705882354,312.5,39.0,36.0,42.5,822.0,432.5,1612.0,28.24858757062147,28.24858757062147,28.24858757062147,128.2051282051282,118.05555555555556,138.88888888888889,6.082725060827251,3.132209960660842,12.903052578820496,6.082725060827251,3.132209960660842,12.903052578820496,measurement
QFT,8,64,0.5,5,True,317.0,317.0,317.0,317.0,30.0,28.0,30.5,,,,,16.666666666666668,16.397849462365592,17.879948914431672,39.0,38.0,44.0,2723.0,1644.5,3008.5,1.5772870662460567,1.5772870662460567,1.5772870662460567,12.820512820512821,11.369509043927648,13.157894736842104,0.1836210062431142,0.1663005125715117,0.4038409213024674,0.1836210062431142,0.1663005125715117,0.4038409213024674,measurement
QFT,8,64,1.0,5,True,317.0,317.0,317.0,317.0,30.0,28.0,30.5,,,,,33.333333333333336,32.795698924731184,35.759897828863345,39.0,38.0,44.0,2723.0,1644.5,3008.5,3.1545741324921135,3.1545741324921135,3.1545741324921135,25.641025641025642,22.739018087855296,26.31578947368421,0.3672420124862284,0.3326010251430234,0.8076818426049348,0.3672420124862284,0.3326010251430234,0.8076818426049348,measurement
QFT,8,64,5.0,5,True,317.0,317.0,317.0,317.0,30.0,28.0,30.5,,,,,166.66666666666666,163.9784946236559,178.79948914431674,39.0,38.0,44.0,2723.0,1644.5,3008.5,15.772870662460567,15.772870662460567,15.772870662460567,128.2051282051282,113.69509043927648,131.57894736842104,1.8362100624311422,1.663005125715117,4.038409213024674,1.8362100624311422,1.663005125715117,4.038409213024674,measurement
VQE,4,16,0.5,5,True,15.0,15.0,15.0,15.0,1.0,1.0,1.0,independent_compiler,90.0,90.0,90.0,500.0,500.0,500.0,27.0,26.5,28.0,26.0,24.5,26.0,33.333333333333336,33.333333333333336,33.333333333333336,18.51851851851852,17.857142857142858,18.874643874643873,19.23076923076923,19.23076923076923,20.416666666666664,18.51851851851852,17.857142857142858,18.874643874643873,hold
