dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,VQE,stall_aware_shifted,l2_l2,W8_M8_F4,15,5,3.661017,0.053672,0.457627
raw,VQE,stall_aware_shifted,l2_l2,W8_M8_F8,15,5,7.2,0.066667,0.9
raw,VQE,stall_aware_shifted,mixed,W8_M8_F4,30,5,3.767442,0.031977,0.47093
raw,VQE,stall_aware_shifted,mixed,W8_M8_F8,30,5,7.854545,0.012121,0.981818
shifted,QAOA,asap,l1_l1,W8_M8_F4,15,5,3.975904,0.245783,0.496988
shifted,QAOA,asap,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,asap,l2_l2,W8_M8_F4,15,5,3.956835,0.246597,0.494604
shifted,QAOA,asap,l2_l2,W8_M8_F8,15,5,7.806122,0.014493,0.975765
shifted,QAOA,asap,mixed,W8_M8_F4,30,5,3.966346,0.245192,0.495793
shifted,QAOA,asap,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QAOA,greedy_critical,l1_l1,W8_M8_F4,15,5,3.975904,0.426108,0.496988
shifted,QAOA,greedy_critical,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,greedy_critical,l2_l2,W8_M8_F4,15,5,3.956835,0.426859,0.494604
shifted,QAOA,greedy_critical,l2_l2,W8_M8_F8,15,5,7.819905,0.014563,0.977488
shifted,QAOA,greedy_critical,mixed,W8_M8_F4,30,5,3.966346,0.425481,0.495793
shifted,QAOA,greedy_critical,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QAOA,regime_switch,l1_l1,W8_M8_F4,15,5,3.975904,0.440964,0.496988
shifted,QAOA,regime_switch,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,regime_switch,l2_l2,W8_M8_F4,15,5,3.956835,0.443645,0.494604
shifted,QAOA,regime_switch,l2_l2,W8_M8_F8,15,5,7.806122,0.014493,0.975765
shifted,QAOA,regime_switch,mixed,W8_M8_F4,30,5,3.966346,0.442308,0.495793
shifted,QAOA,regime_switch,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QAOA,shifted_critical,l1_l1,W8_M8_F4,15,5,3.975904,0.46506,0.496988
shifted,QAOA,shifted_critical,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,shifted_critical,l2_l2,W8_M8_F4,15,5,3.956835,0.461538,0.494604
shifted,QAOA,shifted_critical,l2_l2,W8_M8_F8,15,5,7.819905,0.014563,0.977488
shifted,QAOA,shifted_critical,mixed,W8_M8_F4,30,5,3.966346,0.463942,0.495793
shifted,QAOA,shifted_critical,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QAOA,stall_aware_shifted,l1_l1,W8_M8_F4,15,5,3.975904,0.440964,0.496988
shifted,QAOA,stall_aware_shifted,l1_l1,W8_M8_F8,15,5,7.894737,0.004902,0.986842
shifted,QAOA,stall_aware_shifted,l2_l2,W8_M8_F4,15,5,3.956835,0.443645,0.494604
shifted,QAOA,stall_aware_shifted,l2_l2,W8_M8_F8,15,5,7.819905,0.014563,0.977488
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F4,30,5,3.966346,0.442308,0.495793
shifted,QAOA,stall_aware_shifted,mixed,W8_M8_F8,30,5,7.857143,0.009756,0.982143
shifted,QFT,asap,l1_l1,W8_M8_F4,10,5,3.974449,0.386414,0.496806
shifted,QFT,asap,l1_l1,W8_M8_F8,10,5,7.807764,0.004971,0.975971
shifted,QFT,asap,l2_l2,W8_M8_F4,10,5,3.927028,0.394626,0.490878
shifted,QFT,asap,l2_l2,W8_M8_F8,10,5,7.499442,0.035287,0.93743
shifted,QFT,asap,mixed,W8_M8_F4,20,5,3.950547,0.390088,0.493818
shifted,QFT,asap,mixed,W8_M8_F8,20,5,7.652152,0.01698,0.956519
shifted,QFT,greedy_critical,l1_l1,W8_M8_F4,10,5,3.975698,0.436581,0.496962
shifted,QFT,greedy_critical,l1_l1,W8_M8_F8,10,5,7.936203,0.003831,0.992025
shifted,QFT,greedy_critical,l2_l2,W8_M8_F4,10,5,3.943079,0.437551,0.492885
shifted,QFT,greedy_critical,l2_l2,W8_M8_F8,10,5,7.851742,0.011307,0.981467
shifted,QFT,greedy_critical,mixed,W8_M8_F4,20,5,3.959301,0.437771,0.494912
shifted,QFT,greedy_critical,mixed,W8_M8_F8,20,5,7.906067,0.00762,0.988258
shifted,QFT,regime_switch,l1_l1,W8_M8_F4,10,5,3.982088,0.432999,0.497761
shifted,QFT,regime_switch,l1_l1,W8_M8_F8,10,5,7.807764,0.004971,0.975971
shifted,QFT,regime_switch,l2_l2,W8_M8_F4,10,5,3.949307,0.435613,0.493664
shifted,QFT,regime_switch,l2_l2,W8_M8_F8,10,5,7.499442,0.035287,0.93743
shifted,QFT,regime_switch,mixed,W8_M8_F4,20,5,3.965609,0.433638,0.495701
shifted,QFT,regime_switch,mixed,W8_M8_F8,20,5,7.652152,0.01698,0.956519
shifted,QFT,shifted_critical,l1_l1,W8_M8_F4,10,5,3.982088,0.435191,0.497761
shifted,QFT,shifted_critical,l1_l1,W8_M8_F8,10,5,7.936203,0.003831,0.992025
shifted,QFT,shifted_critical,l2_l2,W8_M8_F4,10,5,3.949307,0.437076,0.493664
shifted,QFT,shifted_critical,l2_l2,W8_M8_F8,10,5,7.851742,0.011307,0.981467
shifted,QFT,shifted_critical,mixed,W8_M8_F4,20,5,3.965609,0.436075,0.495701
shifted,QFT,shifted_critical,mixed,W8_M8_F8,20,5,7.906067,0.00762,0.988258
shifted,QFT,stall_aware_shifted,l1_l1,W8_M8_F4,10,5,3.982088,0.432999,0.497761
shifted,QFT,stall_aware_shifted,l1_l1,W8_M8_F8,10,5,7.936203,0.003831,0.992025
shifted,QFT,stall_aware_shifted,l2_l2,W8_M8_F4,10,5,3.949307,0.435528,0.493664
shifted,QFT,stall_aware_shifted,l2_l2,W8_M8_F8,10,5,7.851742,0.011307,0.981467
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F4,20,5,3.965609,0.433638,0.495701
shifted,QFT,stall_aware_shifted,mixed,W8_M8_F8,20,5,7.906067,0.00762,0.988258
shifted,VQE,asap,l1_l1,W8_M8_F4,15,5,3.97546,0.432515,0.496933
shifted,VQE,asap,l1_l1,W8_M8_F8,15,5,7.902439,0.006098,0.987805
shifted,VQE,asap,l2_l2,W8_M8_F4,15,5,3.95122,0.435976,0.493902
shifted,VQE,asap,l2_l2,W8_M8_F8,15,5,7.760479,0.017964,0.97006
